id,gid,cname,season,ccode,ensemble,planting,harvest,wsgd,gwad
5287,35,Nyandarua,2021 2,KEN.35_1,7,2021-10-01,2022-01-01,0,3637
5610,37,Samburu,2021 2,KEN.37_1,10,2021-10-01,2021-12-20,0,2443
2112,14,Kilifi,2021 2,KEN.14_1,32,2021-10-01,2022-01-27,0.548,968
7227,47,West Pokot,2021 2,KEN.47_1,27,2021-10-01,2022-01-14,0.659,4221
4808,32,Nandi,2021 2,KEN.32_1,8,2021-10-01,2022-01-23,0.799,2042
2577,17,Kisumu,2021 2,KEN.17_1,17,2021-10-01,2022-01-23,0,1501
2108,14,Kilifi,2021 2,KEN.14_1,28,2021-10-01,2022-01-27,0.542,893
1153,8,Homa Bay,2021 2,KEN.8_1,33,2021-10-01,2022-01-23,0.496,872
7371,24,Mandera,2021 2,KEN.24_1,11,2021-10-01,2022-01-27,0,2062
6268,41,Tharaka-Nithi,2021 2,KEN.41_1,28,2021-10-01,2021-12-20,0,2443
1924,13,Kiambu,2021 2,KEN.13_1,4,2021-10-01,2022-01-27,0,3074
1308,9,Isiolo,2021 2,KEN.9_1,28,2021-10-01,2021-12-20,0,2443
1766,12,Kericho,2021 2,KEN.12_1,6,2021-10-01,2022-01-27,0.365,1594
980,7,Garissa,2021 2,KEN.7_1,20,2021-10-01,2021-12-24,0,2410
1771,12,Kericho,2021 2,KEN.12_1,11,2021-10-01,2022-01-27,0.381,1623
7382,24,Mandera,2021 2,KEN.24_1,22,2021-10-01,2022-01-27,0,1956
3544,23,Makueni,2021 2,KEN.23_1,24,2021-10-01,2022-01-27,0,2191
5798,38,Siaya,2021 2,KEN.38_1,38,2021-10-01,2022-01-05,0,2158
7070,46,Wajir,2021 2,KEN.46_1,30,2021-10-01,2022-01-05,0,2158
3202,21,Lamu,2021 2,KEN.21_1,2,2021-10-01,2021-12-24,0,2113
2262,15,Kirinyaga,2021 2,KEN.15_1,22,2021-10-01,2021-12-20,0,1929
4497,30,Nairobi,2021 2,KEN.30_1,17,2021-10-01,2022-01-27,0.695,2778
1282,9,Isiolo,2021 2,KEN.9_1,2,2021-10-01,2021-12-20,0,2443
4512,30,Nairobi,2021 2,KEN.30_1,32,2021-10-01,2022-01-27,0.64,2946
190,2,Bomet,2021 2,KEN.2_1,30,2021-10-01,2022-01-27,0.585,2046
1606,11,Kakamega,2021 2,KEN.11_1,6,2021-10-01,2022-01-21,0.547,4251
4183,28,Mombasa,2021 2,KEN.28_1,23,2021-10-01,2022-01-27,0.233,2181
5451,36,Nyeri,2021 2,KEN.36_1,11,2021-10-01,2021-12-24,0,1696
2586,17,Kisumu,2021 2,KEN.17_1,26,2021-10-01,2022-01-23,0,1517
5921,39,Taita Taveta,2021 2,KEN.39_1,1,2021-10-01,2022-01-27,0,3226
6246,41,Tharaka-Nithi,2021 2,KEN.41_1,6,2021-10-01,2021-12-20,0.146,2018
2888,19,Kwale,2021 2,KEN.19_1,8,2021-10-01,2022-01-27,0.496,1394
5477,36,Nyeri,2021 2,KEN.36_1,37,2021-10-01,2021-12-24,0,1721
6082,40,Tana River,2021 2,KEN.40_1,2,2021-10-01,2022-01-27,0.25,1158
7232,47,West Pokot,2021 2,KEN.47_1,32,2021-10-01,2022-01-14,0.696,4155
4002,27,Migori,2021 2,KEN.27_1,2,2021-10-01,2022-01-23,0,2223
3716,25,Marsabit,2021 2,KEN.25_1,36,2021-10-01,2022-01-27,0,3024
6728,44,Uasin Gishu,2021 2,KEN.44_1,8,2021-10-01,2022-01-21,0.698,4245
4163,28,Mombasa,2021 2,KEN.28_1,3,2021-10-01,2022-01-27,0.303,1847
16,1,Baringo,2021 2,KEN.1_1,16,2021-10-01,2022-01-14,0,4324
5928,39,Taita Taveta,2021 2,KEN.39_1,8,2021-10-01,2022-01-27,0,2312
5475,36,Nyeri,2021 2,KEN.36_1,35,2021-10-01,2021-12-24,0,1721
3369,22,Machakos,2021 2,KEN.22_1,9,2021-10-01,2021-12-20,0,2443
2589,17,Kisumu,2021 2,KEN.17_1,29,2021-10-01,2022-01-23,0,1477
5146,34,Nyamira,2021 2,KEN.34_1,26,2021-10-01,2022-01-27,0.735,1739
2727,18,Kitui,2021 2,KEN.18_1,7,2021-10-01,2021-12-20,0,2443
