id,gid,cname,season,ccode,ensemble,planting,harvest,wsgd,gwad
34106,44,Uasin Gishu,2021 2,KEN.44_1,26,2021-10-01,2022-01-23,0,3566
28503,8,Homa Bay,2021 2,KEN.8_1,23,2021-10-01,2022-01-23,0,2001
29307,13,Kiambu,2021 2,KEN.13_1,27,2021-10-01,2022-01-29,0.296,3247
30098,18,Kitui,2021 2,KEN.18_1,18,2021-10-01,2021-12-20,0,2425
33451,40,Tana River,2021 2,KEN.40_1,11,2021-10-01,2022-01-27,0,1777
32034,31,Nakuru,2021 2,KEN.31_1,34,2021-10-01,2022-01-29,0,2946
29943,17,Kisumu,2021 2,KEN.17_1,23,2021-10-01,2022-01-23,0,3084
31204,26,Meru,2021 2,KEN.26_1,4,2021-10-01,2021-12-20,0,2425
32010,31,Nakuru,2021 2,KEN.31_1,10,2021-10-01,2022-01-29,0.013,3009
33469,40,Tana River,2021 2,KEN.40_1,29,2021-10-01,2022-01-27,0,1834
32009,31,Nakuru,2021 2,KEN.31_1,9,2021-10-01,2022-01-29,0,2852
34116,44,Uasin Gishu,2021 2,KEN.44_1,36,2021-10-01,2022-01-23,0,3446
31217,26,Meru,2021 2,KEN.26_1,17,2021-10-01,2021-12-20,0,2425
31219,26,Meru,2021 2,KEN.26_1,19,2021-10-01,2021-12-20,0,2425
29288,13,Kiambu,2021 2,KEN.13_1,8,2021-10-01,2022-01-29,0.532,3018
27362,1,Baringo,2021 2,KEN.1_1,2,2021-10-01,2022-01-16,0,4337
32163,32,Nandi,2021 2,KEN.32_1,3,2021-10-01,2022-01-23,0,2913
32342,33,Narok,2021 2,KEN.33_1,22,2021-10-01,2022-01-29,0.802,2953
33456,40,Tana River,2021 2,KEN.40_1,16,2021-10-01,2022-01-27,0,2433
31060,25,Marsabit,2021 2,KEN.25_1,20,2021-10-01,2022-01-29,0.752,2196
34264,45,Vihiga,2021 2,KEN.45_1,24,2021-10-01,2022-01-23,0,2696
32350,33,Narok,2021 2,KEN.33_1,30,2021-10-01,2022-01-29,0.892,2732
30276,19,Kwale,2021 2,KEN.19_1,36,2021-10-01,2022-01-27,0.607,2686
28014,5,Elgeyo-Marakwet,2021 2,KEN.5_1,14,2021-10-01,2022-01-16,0,4337
28024,5,Elgeyo-Marakwet,2021 2,KEN.5_1,24,2021-10-01,2022-01-16,0,4337
33125,38,Siaya,2021 2,KEN.38_1,5,2021-10-01,2022-01-05,0,2172
28038,5,Elgeyo-Marakwet,2021 2,KEN.5_1,38,2021-10-01,2022-01-16,0,4327
32357,33,Narok,2021 2,KEN.33_1,37,2021-10-01,2022-01-29,0.855,2745
29782,16,Kisii,2021 2,KEN.16_1,22,2021-10-01,2022-01-29,0.322,2566
30083,18,Kitui,2021 2,KEN.18_1,3,2021-10-01,2021-12-20,0,2425
29776,16,Kisii,2021 2,KEN.16_1,16,2021-10-01,2022-01-29,0.372,2526
29766,16,Kisii,2021 2,KEN.16_1,6,2021-10-01,2022-01-29,0.359,2486
31362,27,Migori,2021 2,KEN.27_1,2,2021-10-01,2022-01-23,0,1994
34418,46,Wajir,2021 2,KEN.46_1,18,2021-10-01,2022-01-05,0,2172
28669,9,Isiolo,2021 2,KEN.9_1,29,2021-10-01,2021-12-20,0,2425
28666,9,Isiolo,2021 2,KEN.9_1,26,2021-10-01,2021-12-20,0,2425
32513,34,Nyamira,2021 2,KEN.34_1,33,2021-10-01,2022-01-29,0.317,2957
29159,12,Kericho,2021 2,KEN.12_1,39,2021-10-01,2022-01-29,0.573,2171
33609,41,Tharaka-Nithi,2021 2,KEN.41_1,9,2021-10-01,2021-12-20,0,2425
30428,20,Laikipia,2021 2,KEN.20_1,28,2021-10-01,2021-12-20,0,2425
32991,37,Samburu,2021 2,KEN.37_1,31,2021-10-01,2021-12-20,0,2425
31707,29,Murang'a,2021 2,KEN.29_1,27,2021-10-01,2021-12-20,0,2141
29613,15,Kirinyaga,2021 2,KEN.15_1,13,2021-10-01,2021-12-20,0,2261
32646,35,Nyandarua,2021 2,KEN.35_1,6,2021-10-01,2022-01-01,0,3878
27876,4,Busia,2021 2,KEN.4_1,36,2021-10-01,2022-01-23,0,4354
27548,2,Bomet,2021 2,KEN.2_1,28,2021-10-01,2022-01-29,0.615,2425
27528,2,Bomet,2021 2,KEN.2_1,8,2021-10-01,2022-01-29,0.641,2335
32988,37,Samburu,2021 2,KEN.37_1,28,2021-10-01,2021-12-20,0,2425
30104,18,Kitui,2021 2,KEN.18_1,24,2021-10-01,2021-12-20,0,2425
33796,42,Trans Nzoia,2021 2,KEN.42_1,36,2021-10-01,2022-01-23,0,2020
34577,47,West Pokot,2021 2,KEN.47_1,17,2021-10-01,2022-01-16,0,4335
32967,37,Samburu,2021 2,KEN.37_1,7,2021-10-01,2021-12-20,0,2425
32965,37,Samburu,2021 2,KEN.37_1,5,2021-10-01,2021-12-20,0,2425
32961,37,Samburu,2021 2,KEN.37_1,1,2021-10-01,2021-12-20,0,2425
28481,8,Homa Bay,2021 2,KEN.8_1,1,2021-10-01,2022-01-23,0,2716
29135,12,Kericho,2021 2,KEN.12_1,15,2021-10-02,2022-01-28,0.557,2265
30759,22,Machakos,2021 2,KEN.22_1,39,2021-10-02,2021-12-21,0,2457
28008,5,Elgeyo-Marakwet,2021 2,KEN.5_1,8,2021-10-02,2022-01-15,0,4159
28010,5,Elgeyo-Marakwet,2021 2,KEN.5_1,10,2021-10-02,2022-01-15,0,4159
