id,gid,season,ccode,ensemble,planting,harvest,wsgd,gwad
13696,26,2014 2,KEN.26_1,16,2014-10-01,2014-12-21,0.183,2313
20190,35,2014 2,KEN.35_1,30,2014-10-01,2015-01-05,0,3062
18725,33,2014 2,KEN.33_1,5,2014-10-01,2015-01-30,0,1737
20186,35,2014 2,KEN.35_1,26,2014-10-01,2015-01-05,0,2463
10809,19,2014 2,KEN.19_1,9,2014-10-01,2015-02-01,0.142,1198
8646,15,2014 2,KEN.15_1,6,2014-10-01,2014-12-21,0,2122
2911,5,2014 2,KEN.5_1,31,2014-10-01,2015-01-18,0.227,3779
10119,17,2014 2,KEN.17_1,39,2014-10-01,2015-01-27,0,1440
10820,19,2014 2,KEN.19_1,20,2014-10-01,2015-02-01,0.12,1142
10092,17,2014 2,KEN.17_1,12,2014-10-01,2015-01-27,0,1441
3637,6,2014 2,KEN.6_1,37,2014-10-01,2014-12-21,0,1965
3630,6,2014 2,KEN.6_1,30,2014-10-01,2014-12-21,0,2439
13708,26,2014 2,KEN.26_1,28,2014-10-01,2014-12-21,0,2386
3623,6,2014 2,KEN.6_1,23,2014-10-01,2014-12-21,0,2012
13687,26,2014 2,KEN.26_1,7,2014-10-01,2014-12-21,0,2285
21624,37,2014 2,KEN.37_1,24,2014-10-01,2014-12-21,0,2309
8644,15,2014 2,KEN.15_1,4,2014-10-01,2014-12-21,0,2293
7954,14,2014 2,KEN.14_1,34,2014-10-01,2015-02-01,0,1086
7209,13,2014 2,KEN.13_1,9,2014-10-01,2015-01-30,0,1968
15867,29,2014 2,KEN.29_1,27,2014-10-01,2014-12-21,0,2443
14416,27,2014 2,KEN.27_1,16,2014-10-01,2015-01-27,0,1374
14421,27,2014 2,KEN.27_1,21,2014-10-01,2015-01-27,0,1328
2897,5,2014 2,KEN.5_1,17,2014-10-01,2015-01-18,0.288,4126
2885,5,2014 2,KEN.5_1,5,2014-10-01,2015-01-18,0,2620
21633,37,2014 2,KEN.37_1,33,2014-10-01,2014-12-21,0,2330
15123,28,2014 2,KEN.28_1,3,2014-10-01,2015-02-01,0,1110
7207,13,2014 2,KEN.13_1,7,2014-10-01,2015-01-30,0,1418
