id,gid,cname,season,ccode,ensemble,planting,harvest,wsgd,gwad
12246,21,Lamu,2014 2,KEN.21_1,6,2014-10-01,2014-12-28,0,2227
20186,35,Nyandarua,2014 2,KEN.35_1,26,2014-10-01,2015-01-05,0,2463
8646,15,Kirinyaga,2014 2,KEN.15_1,6,2014-10-01,2014-12-21,0,2122
16584,30,Nairobi,2014 2,KEN.30_1,24,2014-10-01,2015-01-30,0,1677
16570,30,Nairobi,2014 2,KEN.30_1,10,2014-10-01,2015-01-30,0,1877
14416,27,Migori,2014 2,KEN.27_1,16,2014-10-01,2015-01-27,0,1374
18752,33,Narok,2014 2,KEN.33_1,32,2014-10-01,2015-01-30,0,1771
20190,35,Nyandarua,2014 2,KEN.35_1,30,2014-10-01,2015-01-05,0,3062
21633,37,Samburu,2014 2,KEN.37_1,33,2014-10-01,2014-12-21,0,2330
17286,31,Nakuru,2014 2,KEN.31_1,6,2014-10-01,2015-01-30,0,1474
7209,13,Kiambu,2014 2,KEN.13_1,9,2014-10-01,2015-01-30,0,1968
18746,33,Narok,2014 2,KEN.33_1,26,2014-10-01,2015-01-30,0,1949
15867,29,Murang'a,2014 2,KEN.29_1,27,2014-10-01,2014-12-21,0,2443
18738,33,Narok,2014 2,KEN.33_1,18,2014-10-01,2015-01-30,0,1720
2885,5,Elgeyo-Marakwet,2014 2,KEN.5_1,5,2014-10-01,2015-01-18,0,2620
21624,37,Samburu,2014 2,KEN.37_1,24,2014-10-01,2014-12-21,0,2309
18725,33,Narok,2014 2,KEN.33_1,5,2014-10-01,2015-01-30,0,1737
10809,19,Kwale,2014 2,KEN.19_1,9,2014-10-01,2015-02-01,0.142,1198
6495,12,Kericho,2014 2,KEN.12_1,15,2014-10-01,2015-01-30,0,1303
11560,20,Laikipia,2014 2,KEN.20_1,40,2014-10-01,2014-12-21,0,2224
5044,8,Homa Bay,2014 2,KEN.8_1,4,2014-10-01,2015-01-27,0,1425
17313,31,Nakuru,2014 2,KEN.31_1,33,2014-10-01,2015-01-30,0,1416
4350,7,Garissa,2014 2,KEN.7_1,30,2014-10-01,2014-12-28,0,1974
5048,8,Homa Bay,2014 2,KEN.8_1,8,2014-10-01,2015-01-27,0,1362
12997,23,Makueni,2014 2,KEN.23_1,37,2014-10-01,2015-01-30,0,1485
7207,13,Kiambu,2014 2,KEN.13_1,7,2014-10-01,2015-01-30,0,1418
13708,26,Meru,2014 2,KEN.26_1,28,2014-10-01,2014-12-21,0,2386
13696,26,Meru,2014 2,KEN.26_1,16,2014-10-01,2014-12-21,0.183,2313
2911,5,Elgeyo-Marakwet,2014 2,KEN.5_1,31,2014-10-01,2015-01-18,0.227,3779
22350,38,Siaya,2014 2,KEN.38_1,30,2014-10-01,2015-01-10,0,1861
16595,30,Nairobi,2014 2,KEN.30_1,35,2014-10-01,2015-01-30,0.075,1748
10092,17,Kisumu,2014 2,KEN.17_1,12,2014-10-01,2015-01-27,0,1441
24496,43,Turkana,2014 2,KEN.43_1,16,2014-10-01,2015-01-30,0,2155
14421,27,Migori,2014 2,KEN.27_1,21,2014-10-01,2015-01-27,0,1328
12261,21,Lamu,2014 2,KEN.21_1,21,2014-10-01,2014-12-28,0,1981
17,1,Baringo,2014 2,KEN.1_1,17,2014-10-01,2015-01-18,0,3616
3623,6,Embu,2014 2,KEN.6_1,23,2014-10-01,2014-12-21,0,2012
3630,6,Embu,2014 2,KEN.6_1,30,2014-10-01,2014-12-21,0,2439
10119,17,Kisumu,2014 2,KEN.17_1,39,2014-10-01,2015-01-27,0,1440
15146,28,Mombasa,2014 2,KEN.28_1,26,2014-10-01,2015-02-01,0.701,1137
2176,4,Busia,2014 2,KEN.4_1,16,2014-10-01,2015-01-24,0,2238
3637,6,Embu,2014 2,KEN.6_1,37,2014-10-01,2014-12-21,0,1965
16588,30,Nairobi,2014 2,KEN.30_1,28,2014-10-01,2015-01-30,0,1531
13687,26,Meru,2014 2,KEN.26_1,7,2014-10-01,2014-12-21,0,2285
1451,3,Bungoma,2014 2,KEN.3_1,11,2014-10-01,2015-01-24,0,2127
7954,14,Kilifi,2014 2,KEN.14_1,34,2014-10-01,2015-02-01,0,1086
18018,32,Nandi,2014 2,KEN.32_1,18,2014-10-01,2015-01-27,0,1487
15135,28,Mombasa,2014 2,KEN.28_1,15,2014-10-01,2015-02-01,0.483,1417
24,1,Baringo,2014 2,KEN.1_1,24,2014-10-01,2015-01-18,0,3492
10820,19,Kwale,2014 2,KEN.19_1,20,2014-10-01,2015-02-01,0.12,1142
12973,23,Makueni,2014 2,KEN.23_1,13,2014-10-01,2015-01-30,0,1421
18016,32,Nandi,2014 2,KEN.32_1,16,2014-10-01,2015-01-27,0,1365
24491,43,Turkana,2014 2,KEN.43_1,11,2014-10-01,2015-01-30,0,1023
1476,3,Bungoma,2014 2,KEN.3_1,36,2014-10-01,2015-01-24,0,3701
8644,15,Kirinyaga,2014 2,KEN.15_1,4,2014-10-01,2014-12-21,0,2293
2897,5,Elgeyo-Marakwet,2014 2,KEN.5_1,17,2014-10-01,2015-01-18,0.288,4126
15123,28,Mombasa,2014 2,KEN.28_1,3,2014-10-01,2015-02-01,0,1110
26664,47,West Pokot,2014 2,KEN.47_1,24,2014-10-01,2015-01-18,0,3329
26679,47,West Pokot,2014 2,KEN.47_1,39,2014-10-01,2015-01-18,0,2780
25949,45,Vihiga,2014 2,KEN.45_1,29,2014-10-01,2015-01-27,0.26,896
25227,44,Uasin Gishu,2014 2,KEN.44_1,27,2014-10-02,2015-01-25,0.197,3480
26668,47,West Pokot,2014 2,KEN.47_1,28,2014-10-02,2015-01-19,0,3075
23772,42,Trans Nzoia,2014 2,KEN.42_1,12,2014-10-02,2015-01-25,0,1951
7960,14,Kilifi,2014 2,KEN.14_1,40,2014-10-02,2015-02-02,0.403,1190
20181,35,Nyandarua,2014 2,KEN.35_1,21,2014-10-02,2015-01-06,0,1726
23079,41,Tharaka-Nithi,2014 2,KEN.41_1,39,2014-10-02,2014-12-22,0,2103
2167,4,Busia,2014 2,KEN.4_1,7,2014-10-02,2015-01-25,0,2299
7921,14,Kilifi,2014 2,KEN.14_1,1,2014-10-02,2015-02-02,0,1116
23060,41,Tharaka-Nithi,2014 2,KEN.41_1,20,2014-10-02,2014-12-22,0,2483
22336,38,Siaya,2014 2,KEN.38_1,16,2014-10-02,2015-01-11,0.356,2004
2197,4,Busia,2014 2,KEN.4_1,37,2014-10-02,2015-01-25,0,2210
7931,14,Kilifi,2014 2,KEN.14_1,11,2014-10-02,2015-02-02,0,998
22338,38,Siaya,2014 2,KEN.38_1,18,2014-10-02,2015-01-11,0.2,1967
18022,32,Nandi,2014 2,KEN.32_1,22,2014-10-02,2015-01-26,0,1481
2918,5,Elgeyo-Marakwet,2014 2,KEN.5_1,38,2014-10-02,2015-01-19,0,3129
22357,38,Siaya,2014 2,KEN.38_1,37,2014-10-02,2015-01-11,0.356,2005
20,1,Baringo,2014 2,KEN.1_1,20,2014-10-02,2015-01-19,0,3964
9389,16,Kisii,2014 2,KEN.16_1,29,2014-10-02,2015-01-31,0.159,1236
15142,28,Mombasa,2014 2,KEN.28_1,22,2014-10-02,2015-02-02,0.401,1370
5778,11,Kakamega,2014 2,KEN.11_1,18,2014-10-02,2015-01-25,0.023,2606
751,2,Bomet,2014 2,KEN.2_1,31,2014-10-02,2015-01-31,0.222,2244
18033,32,Nandi,2014 2,KEN.32_1,33,2014-10-02,2015-01-26,0,1489
8650,15,Kirinyaga,2014 2,KEN.15_1,10,2014-10-02,2014-12-22,0,2116
4327,7,Garissa,2014 2,KEN.7_1,7,2014-10-02,2014-12-29,0,1923
9370,16,Kisii,2014 2,KEN.16_1,10,2014-10-02,2015-01-31,0.168,1235
8665,15,Kirinyaga,2014 2,KEN.15_1,25,2014-10-02,2014-12-22,0,1732
4348,7,Garissa,2014 2,KEN.7_1,28,2014-10-02,2014-12-29,0,1870
18011,32,Nandi,2014 2,KEN.32_1,11,2014-10-02,2015-01-26,0,1901
12995,23,Makueni,2014 2,KEN.23_1,35,2014-10-02,2015-01-31,0,1655
24518,43,Turkana,2014 2,KEN.43_1,38,2014-10-02,2015-01-31,0,1575
14403,27,Migori,2014 2,KEN.27_1,3,2014-10-02,2015-01-26,0,1390
14408,27,Migori,2014 2,KEN.27_1,8,2014-10-02,2015-01-26,0,1438
18002,32,Nandi,2014 2,KEN.32_1,2,2014-10-02,2015-01-26,0,1481
12989,23,Makueni,2014 2,KEN.23_1,29,2014-10-02,2015-01-31,0,1529
1455,3,Bungoma,2014 2,KEN.3_1,15,2014-10-02,2015-01-25,0,2866
5771,11,Kakamega,2014 2,KEN.11_1,11,2014-10-02,2015-01-25,0,2321
10819,19,Kwale,2014 2,KEN.19_1,19,2014-10-02,2015-02-02,0,1062
10822,19,Kwale,2014 2,KEN.19_1,22,2014-10-02,2015-02-02,0.21,1238
12967,23,Makueni,2014 2,KEN.23_1,7,2014-10-02,2015-01-31,0,1503
20900,36,Nyeri,2014 2,KEN.36_1,20,2014-10-02,2014-12-29,0,2135
