cname,planting,harvest,lai,wsgd,gwad
Busia,1997-10-01,1998-02-03,1.64,0.608,4811
Kilifi,1997-10-01,1998-02-10,1.18,0.49,2121
Uasin Gishu,1997-10-01,1998-02-03,1.09,0.485,4294
Bungoma,1997-10-01,1998-02-03,1.74,0,5343
Nyandarua,1997-10-01,1998-01-12,1.39,0,5412
Laikipia,1997-10-01,1997-12-27,0.46,0,2626
Kisii,1997-10-01,1998-02-08,1.39,0.46,2861
Makueni,1997-10-01,1998-02-08,1.43,0.509,3174
Nyandarua,1997-10-01,1998-01-12,1.39,0,5416
Nakuru,1997-10-01,1998-02-08,1.42,0,3148
Uasin Gishu,1997-10-01,1998-02-03,1.63,0.664,4550
Uasin Gishu,1997-10-01,1998-02-03,0.99,0.554,4166
Turkana,1997-10-01,1998-02-08,1.4,0,3069
Homa Bay,1997-10-01,1998-02-03,1.64,0.61,2836
Busia,1997-10-01,1998-02-03,1.66,0.682,4751
Homa Bay,1997-10-01,1998-02-03,1.64,0.489,2885
Nairobi,1997-10-01,1998-02-08,1.44,0,3301
Kisumu,1997-10-01,1998-02-03,1.62,0.61,2843
Nyeri,1997-10-01,1998-01-03,0.46,0,2443
Kilifi,1997-10-01,1998-02-10,1.17,0.425,2167
Narok,1997-10-01,1998-02-08,1.45,0,3350
Nairobi,1997-10-01,1998-02-08,1.43,0,3191
Bungoma,1997-10-01,1998-02-03,1.71,0,5163
Nyandarua,1997-10-01,1998-01-12,1.37,0,5155
Mombasa,1997-10-01,1998-02-10,1.22,0,2698
Nyeri,1997-10-01,1998-01-03,0.46,0,2443
Nairobi,1997-10-01,1998-02-08,1.43,0,3191
Nyandarua,1997-10-01,1998-01-12,1.37,0,5239
Busia,1997-10-01,1998-02-03,1.66,0.708,4728
Narok,1997-10-01,1998-02-08,1.43,0,3243
Kwale,1997-10-01,1998-02-10,1.17,0,2363
Bomet,1997-10-01,1998-02-08,1.44,0.448,3242
Embu,1997-10-01,1997-12-27,0.46,0,2625
Nyamira,1997-10-01,1998-02-08,1.44,0.642,3121
Kiambu,1997-10-01,1998-02-08,1.44,0,3294
Nyamira,1997-10-01,1998-02-08,1.44,0.644,3086
Trans Nzoia,1997-10-01,1998-02-03,1.68,0,5026
Siaya,1997-10-01,1998-01-18,0.52,0,2192
Elgeyo-Marakwet,1997-10-01,1998-01-27,0.6,0,3814
Nyamira,1997-10-01,1998-02-08,1.43,0.736,2948
Tharaka-Nithi,1997-10-01,1997-12-27,0.46,0,2622
