cname,planting,harvest,lai,wsgd,gwad
Babati,2014-09-22,2015-01-28,0.22,0,1907
Babati,2014-10-12,2015-02-20,0.23,0,1668
Babati,2014-09-20,2015-01-26,0.19,0,1720
Kwimba,2018-09-26,2019-01-24,0.25,0,1320
Kwimba,2014-09-21,2015-01-27,0.19,0,1761
Lake Victoria,2018-02-02,2018-07-02,0.1,0,1679
Kahama,2016-09-22,2017-01-23,0.23,0,1597
Kahama,2016-10-12,2017-02-15,0.27,0,1730
Kahama,2016-09-22,2017-01-23,0.34,0,2005
Kahama,2016-09-29,2017-01-31,0.23,0,1671
Kahama,2016-09-28,2017-01-30,0.21,0,1549
Kahama,2016-09-30,2017-02-01,0.27,0,1824
Kahama,2016-10-13,2017-02-16,0.31,0,1965
Kahama,2016-10-12,2017-02-15,0.21,0,1528
Kahama,2016-09-15,2017-01-18,0.18,0,1399
Kahama,2016-09-15,2017-01-18,0.18,0,1356
Kahama,2016-10-04,2017-02-07,0.33,0,2301
Kahama,2016-10-03,2017-02-05,0.31,0,2147
Kahama,2016-09-22,2017-01-23,0.33,0,1927
Kahama,2016-10-02,2017-02-04,0.53,0,2784
Kahama,2016-09-29,2017-01-31,0.23,0,1671
Kahama,2016-09-28,2017-01-30,0.19,0,1465
Kahama,2016-09-23,2017-01-26,0.23,0,1702
Kahama,2016-09-18,2017-01-21,0.24,0,1559
Kahama,2017-01-23,2017-06-13,0.15,0,1921
Kahama,2017-02-03,2017-06-28,0.3,0,2759
Kahama,2017-10-11,2018-02-21,0.26,0,1838
Kahama,2017-09-28,2018-02-07,0.14,0,1546
Kahama,2018-01-16,2018-06-12,0.24,0,1823
Kahama,2018-01-22,2018-06-18,0.19,0,1970
Kahama,2018-01-30,2018-06-29,0.16,0,2240
Kahama,2018-10-14,2019-02-15,0.3,0,1837
Kahama,2018-10-09,2019-02-09,0.4,0,1762
Kahama,2019-01-18,2019-06-04,0.21,0,1825
Kahama,2019-02-07,2019-06-25,0.21,0,1881
Kahama,2023-01-22,2023-06-11,0.3,0,1921
Kahama,2023-02-03,2023-06-21,0.23,0,1773
Kahama,2023-02-05,2023-06-27,0.28,0,2230
Kahama,2023-02-08,2023-06-27,0.52,0,2843
Kahama,2023-01-25,2023-06-13,0.35,0,2066
Kahama,2023-02-01,2023-06-20,0.32,0,2088
Kahama,2023-01-14,2023-06-02,0.25,0,1636
Hanang,2014-10-11,2015-02-19,0.4,0,2135
Arusha,2015-01-21,2015-06-17,0.27,0,2048
Arusha,2015-01-26,2015-06-21,0.28,0,2211
Arusha,2014-09-15,2015-01-20,0.16,0,1387
Arusha,2014-09-28,2015-02-05,0.18,0,1691
Arusha,2014-10-07,2015-02-14,0.21,0,1599
Arusha,2014-10-07,2015-02-14,0.21,0,1561
Arusha,2014-09-24,2015-01-31,0.17,0,1737
Arusha,2014-09-26,2015-02-03,0.22,0,1913
Arusha,2014-10-03,2015-02-09,0.19,0,1630
Arusha,2014-10-07,2015-02-14,0.24,0,1676
Arusha,2014-10-06,2015-02-13,0.21,0,1614
Arusha,2014-10-07,2015-02-14,0.21,0,1561
Arusha,2014-09-28,2015-02-05,0.24,0,1956
Arusha,2014-10-09,2015-02-17,0.21,0,1555
Arusha,2014-10-11,2015-02-19,0.26,0,1693
Arusha,2014-09-15,2015-01-20,0.19,0,1509
Arusha,2014-09-16,2015-01-21,0.19,0,1529
Arusha,2014-10-13,2015-02-21,0.37,0,1983
Arusha,2014-09-19,2015-01-25,0.18,0,1614
Arusha,2014-09-29,2015-02-06,0.25,0,1958
Arusha,2014-09-24,2015-01-31,0.15,0,1639
Arusha,2014-09-24,2015-01-31,0.24,0,2109
Arusha,2014-10-01,2015-02-09,0.19,0,1732
Arusha,2014-09-21,2015-01-27,0.19,0,1731
Arusha,2014-10-13,2015-02-21,0.19,0,1497
Arusha,2014-10-12,2015-02-20,0.22,0,1585
Arusha,2014-10-05,2015-02-12,0.2,0,1652
Arusha,2014-10-01,2015-02-09,0.2,0,1692
Arusha,2014-10-09,2015-02-17,0.21,0,1577
Arusha,2014-09-15,2015-01-20,0.19,0,1478
Arusha,2014-10-04,2015-02-10,0.21,0,1637
Arusha,2014-10-11,2015-02-19,0.21,0,1568
Arusha,2014-10-02,2015-02-10,0.19,0,1538
Arusha,2014-10-08,2015-02-16,0.26,0,1665
Musoma Rural,2023-01-17,2023-06-07,0.25,0,1630
Musoma Rural,2023-01-31,2023-06-18,0.48,0,2422
Musoma Rural,2023-01-25,2023-06-15,0.26,0,1835
Morogoro Rural,2023-01-10,2023-05-28,0.5,0,2189
Morogoro Rural,2023-01-26,2023-06-15,1.34,0,3913
Morogoro Rural,2023-01-01,2023-05-20,0.43,0,1825
Morogoro Rural,2023-01-03,2023-05-24,0.74,0,2478
Morogoro Rural,2023-01-22,2023-06-09,0.69,0,2567
Morogoro Rural,2023-01-16,2023-06-04,0.77,0,2650
Morogoro Rural,2023-01-12,2023-05-31,0.55,0,2422
Kahama,2023-02-01,2023-06-20,0.39,0,2275
Kahama,2023-01-26,2023-06-14,0.4,0,2217
Kahama,2023-02-02,2023-06-25,0.23,0,2055
Kahama,2023-02-06,2023-06-26,0.22,0,1948
Kahama,2023-01-31,2023-06-19,0.5,0,2536
Arusha,2014-10-14,2015-02-22,0.19,0,1537
Arusha,2014-10-13,2015-02-21,0.39,0,2034
Arusha,2014-10-04,2015-02-10,0.19,0,1591
Arusha,2014-09-30,2015-02-07,0.25,0,1945
Arusha,2014-10-09,2015-02-17,0.24,0,1639
Arusha,2014-10-11,2015-02-19,0.19,0,1515
Arusha,2014-10-02,2015-02-10,0.19,0,1503
Arusha,2015-01-30,2015-06-25,0.29,0,2197
Arusha,2015-01-19,2015-06-15,0.17,0,1720
Arusha,2015-01-26,2015-06-21,0.24,0,2006
Arusha,2015-01-15,2015-06-10,0.19,0,1651
Arusha,2015-01-22,2015-06-19,0.18,0,1789
Arusha,2015-01-29,2015-06-24,0.28,0,2224
Arusha,2015-02-06,2015-07-01,0.28,0,2514
Arusha,2015-02-02,2015-06-28,0.21,0,2111
Arusha,2015-02-04,2015-07-01,1.35,0,3971
Arusha,2015-01-21,2015-06-17,0.28,0,2114
Arusha,2015-01-10,2015-06-04,0.34,0,2086
Arusha,2015-01-16,2015-06-11,0.21,0,1726
Arusha,2015-01-11,2015-06-05,0.16,0,1548
Arusha,2015-01-30,2015-06-25,0.28,0,2240
Arusha,2015-01-26,2015-06-21,0.18,0,1796
Arusha,2015-01-29,2015-06-24,0.3,0,2279
Arusha,2015-01-31,2015-06-26,0.26,0,2297
Arusha,2015-01-12,2015-06-07,0.43,0,2291
Arusha,2015-01-28,2015-06-23,0.23,0,1975
Arusha,2015-02-03,2015-07-01,0.2,0,2001
Arusha,2015-01-14,2015-06-09,0.24,0,1805
Arusha,2015-01-31,2015-06-26,0.14,0,1636
Arusha,2015-01-31,2015-06-26,0.23,0,1991
Arusha,2015-01-22,2015-06-19,0.89,0,3192
Meru,2014-09-23,2015-01-30,0.1,0,1119
Arusha,2015-01-24,2015-06-19,0.74,0,3070
Arusha,2015-01-30,2015-06-25,0.42,0,2661
Arusha,2015-02-01,2015-06-27,0.24,0,2136
Arusha,2015-01-29,2015-06-24,0.51,0,2867
Arusha,2015-01-17,2015-06-12,0.23,0,1795
Arusha,2015-02-03,2015-07-01,0.27,0,2355
Arusha,2015-02-03,2015-07-01,0.85,0,3468
Arusha,2015-01-21,2015-06-17,0.17,0,1703
Arusha,2015-02-08,2015-07-01,0.22,0,2390
Arusha,2015-01-10,2015-06-04,0.41,0,2290
Arusha,2015-01-24,2015-06-19,0.25,0,2079
Arusha,2015-02-07,2015-07-01,0.29,0,2436
Arusha,2015-01-22,2015-06-19,0.22,0,1881
Arusha,2015-02-06,2015-07-01,0.34,0,2934
Arusha,2015-10-08,2016-02-15,0.64,0,2556
Arusha,2015-10-11,2016-02-18,0.18,0,1616
Arusha,2015-10-05,2016-02-12,0.19,0,1582
Arusha,2015-10-06,2016-02-13,0.17,0,1511
Arusha,2015-10-08,2016-02-15,0.25,0,1854
Arusha,2015-09-20,2016-01-25,0.17,0,1287
Arusha,2015-09-28,2016-02-04,0.16,0,1205
Arusha,2015-10-05,2016-02-12,0.24,0,1770
Arusha,2015-10-10,2016-02-17,0.2,0,1669
Arusha,2015-09-17,2016-01-21,0.17,0,1419
Arusha,2015-10-03,2016-02-10,0.17,0,1391
Arusha,2015-10-03,2016-02-10,0.84,0,2606
Arusha,2015-09-24,2016-01-30,0.16,0,1112
Arusha,2015-10-10,2016-02-17,0.22,0,1777
Arusha,2015-10-01,2016-02-08,0.16,0,1246
Arusha,2015-10-11,2016-02-18,0.23,0,1854
Arusha,2015-10-05,2016-02-12,0.16,0,1438
Arusha,2015-09-18,2016-01-22,0.15,0,1317
Arusha,2015-09-29,2016-02-05,0.19,0,1322
Arusha,2015-10-10,2016-02-17,0.21,0,1766
Arusha,2015-10-09,2016-02-16,0.21,0,1678
Arusha,2015-10-14,2016-02-24,0.2,0,1674
Arusha,2015-09-15,2016-01-18,0.18,0,1512
Arusha,2015-10-08,2016-02-15,0.24,0,1823
Arusha,2015-10-03,2016-02-10,0.18,0,1397
Arusha,2015-10-04,2016-02-11,0.18,0,1437
Arusha,2015-09-18,2016-01-22,0.17,0,1402
Arusha,2015-09-21,2016-01-26,0.17,0,1240
Arusha,2015-09-19,2016-01-23,0.18,0,1403
Arusha,2015-10-07,2016-02-14,0.19,0,1630
Arusha,2015-09-30,2016-02-06,0.17,0,1220
Arusha,2015-10-13,2016-02-23,0.2,0,1745
Arusha,2015-09-29,2016-02-05,0.15,0,1164
Arusha,2015-10-03,2016-02-10,0.21,0,1538
Arusha,2015-10-14,2016-02-24,0.2,0,1693
Arusha,2015-10-08,2016-02-15,0.2,0,1682
Arusha,2015-10-05,2016-02-12,0.16,0,1448
Arusha,2015-09-23,2016-01-29,0.18,0,1305
Arusha,2015-10-11,2016-02-18,0.27,0,1952
Arusha,2015-09-17,2016-01-21,0.18,0,1479
