id,gid,cname,season,ccode,ensemble,planting,harvest,wsgd,gwad
198226,24,Kakonko,2021 1,TZA.8.2_1,26,2021-09-01,2021-12-30,0,3249
198208,24,Kakonko,2021 1,TZA.8.2_1,8,2021-09-03,2022-01-01,0,3381
198234,24,Kakonko,2021 1,TZA.8.2_1,34,2021-09-03,2022-01-01,0,3276
198216,24,Kakonko,2021 1,TZA.8.2_1,16,2021-09-03,2022-01-01,0,3407
198235,24,Kakonko,2021 1,TZA.8.2_1,35,2021-09-05,2022-01-03,0,3460
198214,24,Kakonko,2021 1,TZA.8.2_1,14,2021-09-05,2022-01-03,0,3387
198237,24,Kakonko,2021 1,TZA.8.2_1,37,2021-09-08,2022-01-07,0,3262
198224,24,Kakonko,2021 1,TZA.8.2_1,24,2021-09-10,2022-01-07,0,3403
198204,24,Kakonko,2021 1,TZA.8.2_1,4,2021-09-10,2022-01-07,0,3281
198229,24,Kakonko,2021 1,TZA.8.2_1,29,2021-09-10,2022-01-07,0,3249
198231,24,Kakonko,2021 1,TZA.8.2_1,31,2021-09-11,2022-01-08,0,3354
198213,24,Kakonko,2021 1,TZA.8.2_1,13,2021-09-13,2022-01-11,0,3465
198236,24,Kakonko,2021 1,TZA.8.2_1,36,2021-09-13,2022-01-11,0,3421
198228,24,Kakonko,2021 1,TZA.8.2_1,28,2021-09-13,2022-01-11,0,3459
198203,24,Kakonko,2021 1,TZA.8.2_1,3,2021-09-14,2022-01-12,0,3419
201324,68,Kishapu,2021 2,TZA.23.3_1,4,2021-09-15,2022-01-13,0,3369
207056,76,Handeni,2021 2,TZA.27.2_1,16,2021-09-15,2022-01-13,0,3017
207859,80,Korogwe Township Authority,2021 2,TZA.27.4_1,19,2021-09-15,2022-01-13,0,1540
203271,72,Busega,2021 2,TZA.24.2_1,31,2021-09-15,2022-01-13,0,3178
198690,27,Moshi Urban,2021 2,TZA.9.3_1,10,2021-09-15,2022-01-13,0,2435
200873,30,Same,2021 2,TZA.9.6_1,33,2021-09-15,2022-01-13,0,2936
197276,17,Bukoba Rural,2021 2,TZA.6.2_1,36,2021-09-15,2022-01-13,0,3200
201162,32,Babati,2021 2,TZA.11.2_1,2,2021-09-15,2022-01-13,0,3206
197742,21,Missenyi,2021 2,TZA.6.7_1,22,2021-09-15,2022-01-13,0,2525
203114,71,Bariadi,2021 2,TZA.24.1_1,34,2021-09-15,2022-01-13,0,2824
198212,24,Kakonko,2021 1,TZA.8.2_1,12,2021-09-15,2022-01-13,0,3412
206898,75,Meatu,2021 2,TZA.24.7_1,18,2021-09-15,2022-01-13,0,3375
202952,40,Musoma Rural,2021 2,TZA.12.4_1,32,2021-09-15,2022-01-13,0,3012
203256,72,Busega,2021 2,TZA.24.2_1,16,2021-09-15,2022-01-13,0,3166
195295,4,Longido,2021 2,TZA.1.6_1,15,2021-09-15,2022-01-13,0,3143
203414,73,Itilima,2021 2,TZA.24.3_1,14,2021-09-15,2022-01-13,0,3385
198855,28,Mwanga,2021 2,TZA.9.4_1,15,2021-09-15,2022-01-13,0,2823
197881,22,Muleba,2021 2,TZA.6.8_1,1,2021-09-15,2022-01-13,0,2530
200046,86,Kaskazini 'A',2021 2,TZA.28.1_1,6,2021-09-15,2022-01-13,0,2496
205251,54,Nyamagana,2021 2,TZA.16.6_1,11,2021-09-15,2022-01-13,0,3200
199588,83,Muheza,2021 2,TZA.27.8_1,28,2021-09-15,2022-01-13,0,3166
199583,83,Muheza,2021 2,TZA.27.8_1,23,2021-09-15,2022-01-13,0,3020
203253,72,Busega,2021 2,TZA.24.2_1,13,2021-09-15,2022-01-13,0,3173
197600,20,Kyerwa,2021 2,TZA.6.5_1,40,2021-09-15,2022-01-13,0,1479
197095,16,Biharamulo,2021 2,TZA.6.1_1,15,2021-09-15,2022-01-13,0,3236
205414,55,Sengerema,2021 2,TZA.16.7_1,14,2021-09-15,2022-01-13,0,3408
195317,4,Longido,2021 2,TZA.1.6_1,37,2021-09-15,2022-01-13,0,2825
201354,68,Kishapu,2021 2,TZA.23.3_1,34,2021-09-15,2022-01-13,0,3326
199727,84,Pangani,2021 2,TZA.27.9_1,7,2021-09-15,2022-01-13,0,3304
203595,74,Maswa,2021 2,TZA.24.6_1,35,2021-09-15,2022-01-13,0,2954
195159,3,Karatu,2021 2,TZA.1.3_1,39,2021-09-15,2022-01-13,0,3345
205423,55,Sengerema,2021 2,TZA.16.7_1,23,2021-09-15,2022-01-13,0,3410
202122,35,Kiteto,2021 2,TZA.11.4_1,2,2021-09-15,2022-01-13,0,3125
205913,58,Wete,2021 2,TZA.18.2_1,33,2021-09-15,2022-01-13,0,2585
194963,2,Arusha Urban,2021 2,TZA.1.1_1,3,2021-09-15,2022-01-13,0,2808
196624,13,Geita,2021 2,TZA.4.3_1,24,2021-09-15,2022-01-13,0,3206
208039,81,Lushoto,2021 2,TZA.27.6_1,39,2021-09-15,2022-01-13,0,2648
204789,51,Kwimba,2021 2,TZA.16.2_1,29,2021-09-15,2022-01-13,0,3139
205916,58,Wete,2021 2,TZA.18.2_1,36,2021-09-15,2022-01-13,0,2734
202787,39,Butiama,2021 2,TZA.12.2_1,27,2021-09-15,2022-01-13,0,3442
199910,85,Tanga,2021 2,TZA.27.10_1,30,2021-09-15,2022-01-13,0,3150
194812,1,Arusha,2021 2,TZA.1.2_1,12,2021-09-15,2022-01-13,0,2838
200694,29,Rombo,2021 2,TZA.9.5_1,14,2021-09-15,2022-01-13,0,2850
203101,71,Bariadi,2021 2,TZA.24.1_1,21,2021-09-15,2022-01-13,0,2868
197911,22,Muleba,2021 2,TZA.6.8_1,31,2021-09-15,2022-01-13,0,2512
202456,37,Simanjiro,2021 2,TZA.11.7_1,16,2021-09-15,2022-01-13,0,3056
201839,33,Babati Urban,2021 2,TZA.11.1_1,39,2021-09-15,2022-01-13,0,3157
205278,54,Nyamagana,2021 2,TZA.16.6_1,38,2021-09-15,2022-01-13,0,3187
201669,70,Shinyanga Urban,2021 2,TZA.23.5_1,29,2021-09-15,2022-01-13,0,3138
196455,12,Chato,2021 2,TZA.4.2_1,15,2021-09-15,2022-01-13,0,3465
207041,76,Handeni,2021 2,TZA.27.2_1,1,2021-09-15,2022-01-13,0,2959
200688,29,Rombo,2021 2,TZA.9.5_1,8,2021-09-15,2022-01-16,0,2877
207396,77,Handeni Township Authority,2021 2,TZA.27.1_1,36,2021-09-15,2022-01-13,0,2716
196618,13,Geita,2021 2,TZA.4.3_1,18,2021-09-15,2022-01-13,0,3204
198394,25,Hai,2021 2,TZA.9.1_1,34,2021-09-15,2022-01-13,0,2751
200535,90,Magharibi,2021 2,TZA.30.1_1,15,2021-09-15,2022-01-13,0,2278
199424,82,Mkinga,2021 2,TZA.27.7_1,24,2021-09-15,2022-01-13,0,3439
201672,70,Shinyanga Urban,2021 2,TZA.23.5_1,32,2021-09-15,2022-01-13,0,3045
204059,43,Serengeti,2021 2,TZA.12.7_1,19,2021-09-15,2022-01-13,0,2881
