id,gid,cname,season,ccode,ensemble,planting,harvest,wsgd,gwad
125945,27,Kakonko,2014 1,27,25,2014-09-01,2015-01-05,0,1842
125947,27,Kakonko,2014 1,27,27,2014-09-01,2015-01-05,0,1903
125933,27,Kakonko,2014 1,27,13,2014-09-01,2015-01-05,0,1840
125949,27,Kakonko,2014 1,27,29,2014-09-02,2015-01-06,0,2027
125922,27,Kakonko,2014 1,27,2,2014-09-03,2015-01-07,0,1768
125930,27,Kakonko,2014 1,27,10,2014-09-04,2015-01-08,0,1824
125941,27,Kakonko,2014 1,27,21,2014-09-05,2015-01-09,0,1856
125957,27,Kakonko,2014 1,27,37,2014-09-06,2015-01-08,0,2102
125951,27,Kakonko,2014 1,27,31,2014-09-07,2015-01-09,0,2223
125958,27,Kakonko,2014 1,27,38,2014-09-08,2015-01-10,0,2042
125939,27,Kakonko,2014 1,27,19,2014-09-08,2015-01-10,0,1962
125937,27,Kakonko,2014 1,27,17,2014-09-09,2015-01-12,0,1998
125956,27,Kakonko,2014 1,27,36,2014-09-09,2015-01-12,0,2098
125931,27,Kakonko,2014 1,27,11,2014-09-11,2015-01-17,0,1974
125925,27,Kakonko,2014 1,27,5,2014-09-11,2015-01-17,0,1901
125932,27,Kakonko,2014 1,27,12,2014-09-13,2015-01-17,0,1998
130260,37,Hanang,2014 2,37,20,2014-09-15,2015-01-20,0,2219
138915,45,Musoma Rural,2014 2,45,35,2014-09-15,2015-01-20,0,1486
113038,3,Karatu,2014 2,3,38,2014-09-15,2015-01-20,0,2139
118025,15,Geita,2014 2,15,25,2014-09-15,2015-01-20,0,1709
120908,19,Bukoba Rural,2014 2,19,28,2014-09-15,2015-01-20,0,2309
126674,28,Hai,2014 2,28,34,2014-09-15,2015-01-20,0,1179
113033,3,Karatu,2014 2,3,33,2014-09-15,2015-01-20,0,1406
116600,13,Bukombe,2014 2,13,40,2014-09-15,2015-01-20,0,1610
120888,19,Bukoba Rural,2014 2,19,8,2014-09-15,2015-01-20,0,2304
138196,43,Butiama,2014 2,43,36,2014-09-15,2015-01-20,0,1445
124485,25,Muleba,2014 2,25,5,2014-09-15,2015-01-20,0,1361
118027,15,Geita,2014 2,15,27,2014-09-15,2015-01-20,0,1524
143147,79,Itilima,2014 2,79,27,2014-09-15,2015-01-20,0,1438
112281,2,Arusha Urban,2014 2,2,1,2014-09-15,2015-01-20,0,1632
113003,3,Karatu,2014 2,3,3,2014-09-15,2015-01-20,0,1397
125236,26,Ngara,2014 2,26,36,2014-09-15,2015-01-20,0,1484
123057,22,Kyerwa,2014 2,22,17,2014-09-15,2015-01-20,0,1715
118729,16,Mbogwe,2014 2,16,9,2014-09-15,2015-01-20,0,1492
122346,21,Karagwe,2014 2,21,26,2014-09-15,2015-01-20,0,1657
122336,21,Karagwe,2014 2,21,16,2014-09-15,2015-01-20,0,1378
123048,22,Kyerwa,2014 2,22,8,2014-09-15,2015-01-20,0,1815
113756,6,Longido,2014 2,6,36,2014-09-15,2015-01-20,0,932
135313,76,Shinyanga Urban,2014 2,76,33,2014-09-15,2015-01-20,0,1280
128801,31,Mwanga,2014 2,31,1,2014-09-15,2015-01-20,0,1300
133853,38,Kiteto,2014 2,38,13,2014-09-15,2015-01-20,0,1565
145298,48,Serengeti,2014 2,48,18,2014-09-15,2015-01-20,0,1467
113742,6,Longido,2014 2,6,22,2014-09-15,2015-01-20,0,1289
120187,18,Biharamulo,2014 2,18,27,2014-09-15,2015-01-20,0,1690
132402,34,Siha,2014 2,34,2,2014-09-15,2015-01-20,0,1943
123079,22,Kyerwa,2014 2,22,39,2014-09-15,2015-01-20,0,1738
130966,32,Rombo,2014 2,32,6,2014-09-15,2015-01-20,0,3021
118754,16,Mbogwe,2014 2,16,34,2014-09-15,2015-01-20,0,1598
111596,1,Arusha,2014 2,1,36,2014-09-15,2015-01-20,0,1186
