id,gid,cname,season,ccode,ensemble,planting,harvest,wsgd,gwad
184093,16,Buhigwe,2021 1,TZA.8.1_1,13,2021-09-01,2021-12-30,0,3465
172381,24,Lindi Rural,2021 1,TZA.10.2_1,21,2021-09-01,2021-12-30,0,3434
172379,24,Lindi Rural,2021 1,TZA.10.2_1,19,2021-09-01,2021-12-30,0,3350
184106,16,Buhigwe,2021 1,TZA.8.1_1,26,2021-09-02,2021-12-31,0,3465
172388,24,Lindi Rural,2021 1,TZA.10.2_1,28,2021-09-02,2021-12-31,0,3351
184097,16,Buhigwe,2021 1,TZA.8.1_1,17,2021-09-03,2022-01-01,0,3564
172362,24,Lindi Rural,2021 1,TZA.10.2_1,2,2021-09-03,2022-01-01,0,3542
172373,24,Lindi Rural,2021 1,TZA.10.2_1,13,2021-09-03,2022-01-01,0,3522
184119,16,Buhigwe,2021 1,TZA.8.1_1,39,2021-09-03,2022-01-01,0,3559
172384,24,Lindi Rural,2021 1,TZA.10.2_1,24,2021-09-03,2022-01-01,0,3542
172392,24,Lindi Rural,2021 1,TZA.10.2_1,32,2021-09-03,2022-01-01,0,3494
172376,24,Lindi Rural,2021 1,TZA.10.2_1,16,2021-09-04,2022-01-02,0,3491
184084,16,Buhigwe,2021 1,TZA.8.1_1,4,2021-09-04,2022-01-02,0,3564
184085,16,Buhigwe,2021 1,TZA.8.1_1,5,2021-09-04,2022-01-02,0,3564
184091,16,Buhigwe,2021 1,TZA.8.1_1,11,2021-09-04,2022-01-02,0,3564
172394,24,Lindi Rural,2021 1,TZA.10.2_1,34,2021-09-04,2022-01-02,0,3538
184114,16,Buhigwe,2021 1,TZA.8.1_1,34,2021-09-05,2022-01-03,0,3564
184117,16,Buhigwe,2021 1,TZA.8.1_1,37,2021-09-05,2022-01-03,0,3564
172378,24,Lindi Rural,2021 1,TZA.10.2_1,18,2021-09-06,2022-01-04,0,3525
184082,16,Buhigwe,2021 1,TZA.8.1_1,2,2021-09-06,2022-01-04,0,3564
184118,16,Buhigwe,2021 1,TZA.8.1_1,38,2021-09-07,2022-01-05,0,3465
172398,24,Lindi Rural,2021 1,TZA.10.2_1,38,2021-09-08,2022-01-07,0,3442
172369,24,Lindi Rural,2021 1,TZA.10.2_1,9,2021-09-08,2022-01-07,0,3283
184108,16,Buhigwe,2021 1,TZA.8.1_1,28,2021-09-08,2022-01-07,0,3465
172391,24,Lindi Rural,2021 1,TZA.10.2_1,31,2021-09-09,2022-01-06,0,3363
172366,24,Lindi Rural,2021 1,TZA.10.2_1,6,2021-09-10,2022-01-07,0,3395
184110,16,Buhigwe,2021 1,TZA.8.1_1,30,2021-09-11,2022-01-08,0,3564
172396,24,Lindi Rural,2021 1,TZA.10.2_1,36,2021-09-11,2022-01-08,0,3466
184101,16,Buhigwe,2021 1,TZA.8.1_1,21,2021-09-12,2022-01-09,0,3564
172361,24,Lindi Rural,2021 1,TZA.10.2_1,1,2021-09-12,2022-01-09,0,3377
172385,24,Lindi Rural,2021 1,TZA.10.2_1,25,2021-09-13,2022-01-11,0,3240
184115,16,Buhigwe,2021 1,TZA.8.1_1,35,2021-09-13,2022-01-11,0,3558
184092,16,Buhigwe,2021 1,TZA.8.1_1,12,2021-09-14,2022-01-12,0,3465
172367,24,Lindi Rural,2021 1,TZA.10.2_1,7,2021-09-14,2022-01-12,0,3465
184116,16,Buhigwe,2021 1,TZA.8.1_1,36,2021-09-14,2022-01-12,0,3465
184102,16,Buhigwe,2021 1,TZA.8.1_1,22,2021-09-14,2022-01-12,0,3465
184111,16,Buhigwe,2021 1,TZA.8.1_1,31,2021-09-14,2022-01-12,0,3465
172395,24,Lindi Rural,2021 1,TZA.10.2_1,35,2021-09-14,2022-01-12,0,3262
184107,16,Buhigwe,2021 1,TZA.8.1_1,27,2021-09-14,2022-01-12,0,3465
193380,69,Singida Rural,2021 2,TZA.25.5_1,20,2021-09-15,2022-01-13,0,3465
184751,20,Kigoma Rural,2021 2,TZA.8.6_1,31,2021-09-15,2022-01-13,0,3465
194032,73,Nzega,2021 2,TZA.26.3_1,32,2021-09-15,2022-01-13,0,3465
175995,33,Mbeya Rural,2021 2,TZA.13.6_1,35,2021-09-15,2022-01-13,0,2800
174064,85,Tanga,2021 2,TZA.27.10_1,24,2021-09-15,2022-01-13,0,3282
194483,76,Urambo,2021 2,TZA.26.6_1,3,2021-09-15,2022-01-13,0,3465
177572,73,Nzega,2021 2,TZA.26.3_1,12,2021-09-15,2022-01-13,0,2969
177587,73,Nzega,2021 2,TZA.26.3_1,27,2021-09-15,2022-01-13,0,3072
176124,34,Mbeya Urban,2021 2,TZA.13.7_1,4,2021-09-15,2022-01-13,0,3341
170947,14,Mpanda,2021 2,TZA.7.5_1,27,2021-09-15,2022-01-13,0,3279
177728,74,Sikonge,2021 2,TZA.26.4_1,8,2021-09-15,2022-01-13,0,2999
193218,68,Mkalama,2021 2,TZA.25.4_1,18,2021-09-15,2022-01-13,0,3266
170784,13,Mlele,2021 2,TZA.7.3_1,24,2021-09-15,2022-01-13,0,3266
175655,69,Singida Rural,2021 2,TZA.25.5_1,15,2021-09-15,2022-01-13,0,3296
177888,41,Masasi,2021 2,TZA.15.2_1,8,2021-09-15,2022-01-13,0,3431
177748,74,Sikonge,2021 2,TZA.26.4_1,28,2021-09-15,2022-01-13,0,2983
193202,68,Mkalama,2021 2,TZA.25.4_1,2,2021-09-15,2022-01-13,0,3239
194169,74,Sikonge,2021 2,TZA.26.4_1,9,2021-09-15,2022-01-13,0,3465
194170,74,Sikonge,2021 2,TZA.26.4_1,10,2021-09-15,2022-01-13,0,3465
175518,68,Mkalama,2021 2,TZA.25.4_1,38,2021-09-15,2022-01-13,0,3356
177754,74,Sikonge,2021 2,TZA.26.4_1,34,2021-09-15,2022-01-13,0,3033
177758,74,Sikonge,2021 2,TZA.26.4_1,38,2021-09-15,2022-01-13,0,2981
180058,58,Sumbawanga Urban,2021 2,TZA.21.6_1,18,2021-09-15,2022-01-13,0,3187
185683,21,Kigoma Urban,2021 2,TZA.8.7_1,3,2021-09-15,2022-01-13,0,3465
180068,58,Sumbawanga Urban,2021 2,TZA.21.6_1,28,2021-09-15,2022-01-13,0,3188
182327,1,Bahi,2021 2,TZA.3.1_1,7,2021-09-15,2022-01-13,0,3317
175485,68,Mkalama,2021 2,TZA.25.4_1,5,2021-09-15,2022-01-13,0,3375
177898,41,Masasi,2021 2,TZA.15.2_1,18,2021-09-15,2022-01-13,0,3420
178221,43,Mtwara Rural,2021 2,TZA.15.3_1,21,2021-09-15,2022-01-13,0,2926
178230,43,Mtwara Rural,2021 2,TZA.15.3_1,30,2021-09-15,2022-01-13,0,2942
180079,58,Sumbawanga Urban,2021 2,TZA.21.6_1,39,2021-09-15,2022-01-13,0,3349
173580,82,Mkinga,2021 2,TZA.27.7_1,20,2021-09-15,2022-01-13,0,3176
172525,25,Lindi Urban,2021 2,TZA.10.3_1,5,2021-09-15,2022-01-13,0,2436
175337,32,Mbarali,2021 2,TZA.13.5_1,17,2021-09-15,2022-01-13,0,3042
174228,86,Kaskazini 'A',2021 2,TZA.28.1_1,28,2021-09-15,2022-01-13,0,2199
193051,67,Manyoni,2021 2,TZA.25.3_1,11,2021-09-15,2022-01-13,0,3424
173572,82,Mkinga,2021 2,TZA.27.7_1,12,2021-09-15,2022-01-13,0,2879
193047,67,Manyoni,2021 2,TZA.25.3_1,7,2021-09-15,2022-01-13,0,3465
174865,29,Chunya,2021 2,TZA.13.1_1,25,2021-09-15,2022-01-15,0,3353
178765,50,Makete,2021 2,TZA.17.3_1,5,2021-09-15,2022-01-13,0,2900
194484,76,Urambo,2021 2,TZA.26.6_1,4,2021-09-15,2022-01-13,0,3465
173745,83,Muheza,2021 2,TZA.27.8_1,25,2021-09-15,2022-01-13,0,3213
172871,27,Nachingwea,2021 2,TZA.10.5_1,31,2021-09-15,2022-01-13,0,3182
