,district,season_year,cultivar,year,yield
0,chadiza,2011,cultivar1,2011,3.8470400000000002
1,chadiza,2011,cultivar1,2012,4.37038
2,chadiza,2011,cultivar10,2011,4.76036
3,chadiza,2011,cultivar10,2012,5.02104
4,chadiza,2011,cultivar2,2011,3.86252
5,chadiza,2011,cultivar2,2012,4.29038
6,chadiza,2011,cultivar3,2011,6.20848
7,chadiza,2011,cultivar3,2012,6.195
8,chadiza,2011,cultivar4,2011,2.4472
9,chadiza,2011,cultivar4,2012,2.7596800000000004
10,chadiza,2011,cultivar5,2011,3.6531599999999997
11,chadiza,2011,cultivar5,2012,3.9119599999999997
12,chadiza,2011,cultivar6,2011,5.58376
13,chadiza,2011,cultivar6,2012,5.97196
14,chadiza,2011,cultivar7,2011,5.8579
15,chadiza,2011,cultivar7,2012,6.330019999999999
16,chadiza,2011,cultivar8,2011,5.83514
17,chadiza,2011,cultivar8,2012,5.6024
18,chadiza,2011,cultivar9,2011,5.83778
19,chadiza,2011,cultivar9,2012,5.86716
20,chadiza,2012,cultivar1,2012,3.4879200000000004
21,chadiza,2012,cultivar1,2013,4.5051
22,chadiza,2012,cultivar10,2012,4.7019400000000005
23,chadiza,2012,cultivar10,2013,4.9450400000000005
24,chadiza,2012,cultivar2,2012,2.67902
25,chadiza,2012,cultivar2,2013,4.353
26,chadiza,2012,cultivar3,2012,6.34604
27,chadiza,2012,cultivar3,2013,6.02382
28,chadiza,2012,cultivar4,2012,2.34768
29,chadiza,2012,cultivar4,2013,2.81866
30,chadiza,2012,cultivar5,2012,3.48628
31,chadiza,2012,cultivar5,2013,3.97002
32,chadiza,2012,cultivar6,2012,5.92706
33,chadiza,2012,cultivar6,2013,5.58568
34,chadiza,2012,cultivar7,2012,6.05738
35,chadiza,2012,cultivar7,2013,6.07116
36,chadiza,2012,cultivar8,2012,5.46738
37,chadiza,2012,cultivar8,2013,5.17884
38,chadiza,2012,cultivar9,2012,5.5665
39,chadiza,2012,cultivar9,2013,5.76024
40,chadiza,2013,cultivar1,2013,3.79452
41,chadiza,2013,cultivar1,2014,4.075060000000001
42,chadiza,2013,cultivar10,2013,4.82266
43,chadiza,2013,cultivar10,2014,5.03074
44,chadiza,2013,cultivar2,2013,3.1077999999999997
45,chadiza,2013,cultivar2,2014,4.40204
46,chadiza,2013,cultivar3,2013,6.16744
47,chadiza,2013,cultivar3,2014,6.26388
48,chadiza,2013,cultivar4,2013,2.45504
49,chadiza,2013,cultivar4,2014,2.7149
50,chadiza,2013,cultivar5,2013,3.4482999999999997
51,chadiza,2013,cultivar5,2014,3.7669799999999998
52,chadiza,2013,cultivar6,2013,6.19404
53,chadiza,2013,cultivar6,2014,6.1061000000000005
54,chadiza,2013,cultivar7,2013,6.09736
55,chadiza,2013,cultivar7,2014,6.390280000000001
56,chadiza,2013,cultivar8,2013,5.62812
57,chadiza,2013,cultivar8,2014,5.8058000000000005
58,chadiza,2013,cultivar9,2013,5.56804
