cname,planting,harvest,gwad
Central,2011-10-16,2012-01-25,2889
Central,2011-10-17,2012-01-29,2905
Central,2011-10-17,2012-01-29,3676
Central,2011-10-18,2012-01-31,4546
Central,2011-10-18,2012-01-31,2956
Central,2011-10-19,2012-02-01,2555
Central,2011-10-19,2012-02-01,2366
Central,2011-10-20,2012-02-02,3949
Central,2011-10-20,2012-02-02,4115
Central,2011-10-21,2012-02-04,2418
Central,2011-10-21,2012-02-04,2349
Central,2011-10-22,2012-02-05,2461
Central,2011-10-23,2012-02-09,3221
Central,2011-10-24,2012-02-10,2705
Central,2011-10-24,2012-02-10,2661
Central,2011-10-25,2012-02-11,4110
Central,2011-10-25,2012-02-11,5743
Central,2011-10-25,2012-02-11,3474
Central,2011-10-26,2012-02-12,4428
Central,2011-10-26,2012-02-12,2737
Central,2011-10-26,2012-02-12,3199
Central,2011-10-26,2012-02-12,3212
Central,2011-10-27,2012-02-13,2721
Central,2011-10-28,2012-02-14,3255
Central,2011-10-28,2012-02-14,3056
Central,2011-10-28,2012-02-14,3838
Central,2011-10-29,2012-02-16,3701
Central,2011-10-29,2012-02-16,3827
Central,2011-10-30,2012-02-19,3198
Central,2011-10-30,2012-02-19,3162
Central,2011-10-30,2012-02-19,5177
Central,2011-10-30,2012-02-19,3130
Central,2011-11-02,2012-02-21,4246
Central,2011-11-02,2012-02-21,2984
Central,2011-11-03,2012-02-20,3786
Central,2011-11-04,2012-02-22,3341
Central,2011-11-04,2012-02-22,3115
Central,2011-11-07,2012-02-28,4223
Central,2011-11-07,2012-02-28,3237
Central,2011-11-07,2012-02-28,2774
Central,2011-11-07,2012-02-28,3445
Central,2011-11-09,2012-03-04,2941
Central,2011-11-09,2012-03-04,4055
Central,2011-11-11,2012-03-05,4244
Central,2011-11-12,2012-03-06,4417
Central,2011-11-12,2012-03-06,3163
Central,2011-11-12,2012-03-06,3121
Central,2011-11-13,2012-03-09,3861
Central,2011-11-13,2012-03-09,5397
Central,2011-11-13,2012-03-09,4708
Central,2012-01-01,2012-05-02,4252
Central,2012-01-03,2012-05-04,2866
Central,2012-01-03,2012-05-04,2864
Central,2012-01-03,2012-05-04,2659
Central,2012-01-04,2012-05-05,3882
Central,2012-01-05,2012-05-08,3282
Central,2012-01-06,2012-05-09,3904
Central,2012-01-07,2012-05-10,3088
Central,2012-01-08,2012-05-11,3066
Central,2012-01-09,2012-05-12,2634
Central,2012-01-09,2012-05-12,2646
Central,2012-01-10,2012-05-12,5813
Central,2012-01-11,2012-05-14,5431
Central,2012-01-11,2012-05-14,6238
Central,2012-01-12,2012-05-15,4768
Central,2012-01-12,2012-05-15,3330
Central,2012-01-12,2012-05-15,3142
Central,2012-01-13,2012-05-16,2674
Central,2012-01-13,2012-05-16,3194
Central,2012-01-14,2012-05-17,3815
Central,2012-01-14,2012-05-17,4172
Central,2012-01-14,2012-05-17,4667
Central,2012-01-15,2012-05-18,2974
Central,2012-01-15,2012-05-18,3196
Central,2012-01-15,2012-05-18,5080
Central,2012-01-16,2012-05-19,4354
Central,2012-01-17,2012-05-20,4621
Central,2012-01-17,2012-05-20,4710
Central,2012-01-17,2012-05-20,3606
Central,2012-01-17,2012-05-20,3569
Central,2012-01-18,2012-05-21,2927
Central,2012-01-18,2012-05-21,3738
Central,2012-01-19,2012-05-22,2927
Central,2012-01-20,2012-05-23,4673
Central,2012-01-20,2012-05-23,3920
Central,2012-01-21,2012-05-24,3411
Central,2012-01-21,2012-05-24,3194
Central,2012-01-21,2012-05-24,2716
Central,2012-01-24,2012-05-28,3965
Central,2012-01-24,2012-05-28,3047
Central,2012-01-24,2012-05-28,3649
Central,2012-01-25,2012-05-29,4964
Central,2012-01-27,2012-05-30,3254
Central,2012-01-27,2012-05-30,3482
Central,2012-01-28,2012-05-30,4124
Central,2012-01-28,2012-05-30,3885
Central,2012-01-28,2012-05-30,2715
Central,2012-01-29,2012-05-30,3733
Central,2012-01-30,2012-05-30,6386
Central,2012-01-30,2012-05-30,5090
Copperbelt,2011-10-15,2012-01-24,2623
Copperbelt,2011-10-16,2012-01-25,2132
Copperbelt,2011-10-16,2012-01-25,2152
Copperbelt,2011-10-16,2012-01-25,2041
Copperbelt,2011-10-16,2012-01-25,2042
Copperbelt,2011-10-16,2012-01-25,2116
Copperbelt,2011-10-17,2012-01-29,2114
Copperbelt,2011-10-19,2012-02-01,2955
Copperbelt,2011-10-19,2012-02-01,2615
Copperbelt,2011-10-19,2012-02-01,2144
Copperbelt,2011-10-21,2012-02-04,2776
Copperbelt,2011-10-22,2012-02-05,2180
Copperbelt,2011-10-23,2012-02-09,2575
Copperbelt,2011-10-23,2012-02-09,3404
Copperbelt,2011-10-24,2012-02-10,3523
Copperbelt,2011-10-25,2012-02-11,3356
Copperbelt,2011-10-25,2012-02-11,2414
Copperbelt,2011-10-25,2012-02-11,4721
Copperbelt,2011-10-26,2012-02-12,3702
Copperbelt,2011-10-27,2012-02-13,2337
Copperbelt,2011-10-29,2012-02-16,3275
Copperbelt,2011-10-30,2012-02-19,2249
Copperbelt,2011-10-30,2012-02-19,2713
Copperbelt,2011-10-30,2012-02-19,3283
Copperbelt,2011-10-31,2012-02-20,3268
Copperbelt,2011-10-31,2012-02-20,3245
Copperbelt,2011-10-31,2012-02-20,3238
Copperbelt,2011-10-31,2012-02-20,2596
Copperbelt,2011-11-01,2012-02-21,3824
Copperbelt,2011-11-02,2012-02-21,3008
Copperbelt,2011-11-02,2012-02-21,3306
Copperbelt,2011-11-02,2012-02-21,3375
Copperbelt,2011-11-04,2012-02-22,3780
Copperbelt,2011-11-05,2012-02-23,3508
Copperbelt,2011-11-06,2012-02-23,3272
Copperbelt,2011-11-07,2012-02-28,4420
Copperbelt,2011-11-07,2012-02-28,2424
Copperbelt,2011-11-07,2012-02-28,3617
Copperbelt,2011-11-08,2012-02-29,3148
Copperbelt,2011-11-08,2012-02-29,3157
Copperbelt,2011-11-09,2012-03-04,3052
Copperbelt,2011-11-10,2012-03-04,5836
Copperbelt,2011-11-10,2012-03-04,2363
Copperbelt,2011-11-10,2012-03-04,3250
Copperbelt,2011-11-11,2012-03-05,3049
Copperbelt,2011-11-12,2012-03-06,4512
Copperbelt,2011-11-12,2012-03-06,3935
Copperbelt,2011-11-13,2012-03-09,3544
Copperbelt,2011-11-13,2012-03-09,5876
Copperbelt,2011-11-13,2012-03-09,2703
Copperbelt,2012-01-01,2012-05-02,3738
Copperbelt,2012-01-03,2012-05-04,2875
Copperbelt,2012-01-03,2012-05-04,2959
Copperbelt,2012-01-04,2012-05-05,4137
Copperbelt,2012-01-04,2012-05-05,3292
Copperbelt,2012-01-05,2012-05-08,2799
Copperbelt,2012-01-06,2012-05-09,3693
Copperbelt,2012-01-06,2012-05-09,3518
Copperbelt,2012-01-07,2012-05-10,4858
Copperbelt,2012-01-08,2012-05-11,6337
Copperbelt,2012-01-09,2012-05-12,3803
Copperbelt,2012-01-09,2012-05-12,3579
Copperbelt,2012-01-10,2012-05-12,4189
Copperbelt,2012-01-10,2012-05-12,4651
Copperbelt,2012-01-10,2012-05-12,2672
Copperbelt,2012-01-12,2012-05-15,4956
Copperbelt,2012-01-14,2012-05-17,4670
Copperbelt,2012-01-14,2012-05-17,2711
Copperbelt,2012-01-15,2012-05-18,3055
Copperbelt,2012-01-16,2012-05-19,3871
Copperbelt,2012-01-16,2012-05-19,7138
Copperbelt,2012-01-17,2012-05-20,2673
Copperbelt,2012-01-19,2012-05-22,3386
Copperbelt,2012-01-20,2012-05-23,3887
Copperbelt,2012-01-20,2012-05-23,3431
Copperbelt,2012-01-20,2012-05-23,2675
Copperbelt,2012-01-20,2012-05-23,3203
Copperbelt,2012-01-21,2012-05-24,2772
Copperbelt,2012-01-21,2012-05-24,3205
Copperbelt,2012-01-21,2012-05-24,3940
