cname,planting,harvest,gwad
Chadiza,2019-10-15,2020-01-31,5027
Chadiza,2019-10-15,2020-01-31,3328
Chadiza,2019-10-16,2020-02-02,3270
Chadiza,2019-10-17,2020-02-04,5093
Chadiza,2019-10-18,2020-02-05,4666
Chadiza,2019-10-19,2020-02-07,5377
Chadiza,2019-10-20,2020-02-09,5179
Chadiza,2019-10-23,2020-02-13,5514
Chadiza,2019-10-24,2020-02-15,5382
Chadiza,2019-10-24,2020-02-15,5631
Chadiza,2019-10-24,2020-02-15,5727
Chadiza,2019-10-25,2020-02-16,5549
Chadiza,2019-10-26,2020-02-17,5327
Chadiza,2019-10-28,2020-02-20,5591
Chadiza,2019-10-29,2020-02-21,5343
Chadiza,2019-10-29,2020-02-21,5539
Chadiza,2019-10-30,2020-02-23,5258
Chadiza,2019-10-30,2020-02-23,5405
Chadiza,2019-10-30,2020-02-23,5545
Chadiza,2019-10-31,2020-02-24,5298
Chadiza,2019-10-31,2020-02-24,5407
Chadiza,2019-11-01,2020-02-25,5204
Chadiza,2019-11-01,2020-02-25,5591
Chadiza,2019-11-02,2020-02-27,5287
Chadiza,2019-11-02,2020-02-27,5607
Chadiza,2019-11-02,2020-02-27,5149
Chadiza,2019-11-03,2020-03-02,5400
Chadiza,2019-11-03,2020-03-02,5258
Chadiza,2019-11-03,2020-03-02,5236
Chadiza,2019-11-03,2020-03-02,5254
Chadiza,2019-11-04,2020-03-03,5379
Chadiza,2019-11-05,2020-03-04,5422
Chadiza,2019-11-05,2020-03-04,5174
Chadiza,2019-11-05,2020-03-04,5280
Chadiza,2019-11-06,2020-03-05,5069
Chadiza,2019-11-06,2020-03-05,5032
Chadiza,2019-11-07,2020-03-05,5006
Chadiza,2019-11-07,2020-03-05,5221
Chadiza,2019-11-07,2020-03-05,5107
Chadiza,2019-11-07,2020-03-05,5306
Chadiza,2019-11-07,2020-03-05,4943
Chadiza,2019-11-08,2020-03-06,5170
Chadiza,2019-11-11,2020-03-11,5181
Chadiza,2019-11-12,2020-03-14,5855
Chadiza,2019-11-12,2020-03-14,5205
Chadiza,2019-11-12,2020-03-14,5244
Chadiza,2019-11-12,2020-03-14,5178
Chadiza,2019-11-13,2020-03-15,5192
Chadiza,2019-11-13,2020-03-15,5411
Chadiza,2019-11-13,2020-03-15,5356
Chadiza,2020-01-01,2020-05-05,7139
Chadiza,2020-01-02,2020-05-06,5294
Chadiza,2020-01-02,2020-05-06,5536
Chadiza,2020-01-02,2020-05-06,6070
Chadiza,2020-01-03,2020-05-07,5360
Chadiza,2020-01-04,2020-05-08,5318
Chadiza,2020-01-04,2020-05-08,5581
Chadiza,2020-01-04,2020-05-08,5252
Chadiza,2020-01-05,2020-05-12,6130
Chadiza,2020-01-05,2020-05-12,6399
Chadiza,2020-01-06,2020-05-13,5372
Chadiza,2020-01-08,2020-05-14,5529
Chadiza,2020-01-08,2020-05-14,5745
Chadiza,2020-01-09,2020-05-13,5444
Chadiza,2020-01-11,2020-05-15,5227
Chadiza,2020-01-12,2020-05-16,5813
Chadiza,2020-01-13,2020-05-17,5178
Chadiza,2020-01-13,2020-05-17,5423
Chadiza,2020-01-15,2020-05-20,5180
Chadiza,2020-01-16,2020-05-21,5330
Chadiza,2020-01-17,2020-05-24,5162
Chadiza,2020-01-17,2020-05-24,5320
Chadiza,2020-01-18,2020-05-25,4978
Chadiza,2020-01-19,2020-05-26,4912
Chadiza,2020-01-19,2020-05-26,4986
Chadiza,2020-01-20,2020-05-27,5928
Chadiza,2020-01-20,2020-05-27,6005
Chadiza,2020-01-21,2020-05-28,5153
Chadiza,2020-01-22,2020-05-29,5714
Chadiza,2020-01-22,2020-05-29,5818
Chadiza,2020-01-23,2020-05-30,5738
Chadiza,2020-01-23,2020-05-30,5014
Chadiza,2020-01-23,2020-05-30,4958
