,Unnamed: 0,district,cultivar,rmse,%rmse,unbiased rmse,bias,correlation,season length
222,222,chadiza,3,5695.661266423371,261219.3635882501,612.463348874912,5662.635950519899,0.198109712512637,111.12727272727273
75,75,chama,1,3742.593150974223,180285.60367502924,152.74270488360312,3739.4749845164097,0.3879618692646915,117.89272727272729
76,76,chavuma,1,3720.368505212955,163207.0094957249,147.57451808743633,3717.440460342538,0.1214045696525136,118.0109090909091
447,447,chibombo,6,6510.858687577869,333748.5230915611,237.20105256516385,6506.5364450120605,0.2408898059217562,118.7690909090909
522,522,chiengi,7,6922.002745802649,312128.1689893197,416.41590423014776,6909.465956758422,0.733001401976716,121.25454545454544
449,449,chililabombwe,6,6707.935063045236,264039.8357972295,569.610921238768,6683.70677157797,-0.1430507204768653,124.92727272727272
598,598,chilubi,8,8491.636088722362,323810.61604077375,449.3361790299709,8479.739409999978,0.5481897066734313,116.34181818181818
229,229,chingola,3,5679.242784308744,190471.28574511263,864.2605254563753,5613.096502578662,-0.4615242423268217,110.33272727272728
8,8,chinsali,10,5299.962758190866,160199.49133121944,144.46614969081853,5297.993466379855,0.5169352514887905,104.73272727272727
453,453,chipata,6,5914.975975712221,278874.1380924733,450.5720988432141,5897.78988918703,0.6219414191598802,118.60545454545456
84,84,choma,1,3729.867657068144,222995.1965589908,162.47158014187352,3726.3273775782513,0.4927866117810627,118.07636363636364
603,603,chongwe,8,5150.51892354174,231245.03766104532,637.0122826914161,5110.974518960335,0.2344892623794375,117.31454545454544
604,604,gwembe,8,5923.264389242192,443389.3794669503,264.6012567269185,5917.351366938017,0.4613453456592231,117.68363636363635
87,87,ikelenge,1,3414.670730864673,122850.65769389266,308.3406275605991,3400.810470126116,0.4353790289718851,118.13818181818182
88,88,isoka,1,3740.4908978593294,116169.33829953476,151.9827798237667,3737.401957457283,0.2797227146219654,118.12363636363636
681,681,itezhitezhi,9,6187.723078205699,478013.095284358,285.9001609463231,6181.11462363628,0.2296984359859669,118.49636363636364
608,608,kabompo,8,9553.951606436458,373923.7578751266,341.2328481506161,9547.855855712987,0.3011962494858783,115.92727272727272
91,91,kabwe,1,3517.8588579837983,127855.21321586348,271.0247168403158,3507.403105939878,0.5703312915624135,117.74363636363636
684,684,kafue,9,6192.784259833735,259644.4604986119,171.35572789041422,6190.413080188076,0.2573355711045261,118.68727272727271
537,537,kalabo,7,8560.853376534878,1732487.1641951406,478.903607582357,8547.447681569816,0.306232767498715,121.0490909090909
242,242,kalomo,3,5757.870466542042,380200.6188932211,532.2603761609084,5733.216479555443,0.3904580118895532,112.20363636363636
613,613,kalulushi,8,5338.594439237825,186621.4286395429,513.274582902854,5313.862981787066,0.3192650092328464,116.33454545454543
244,244,kaoma,3,7622.9137157883615,485420.8556151665,342.6711736647478,7615.207809711666,0.3064595272224174,111.43454545454546
689,689,kapirimposhi,9,6016.320577855637,257433.9350405868,227.36130080803517,6012.0229652276,0.3264977126661847,118.59636363636363
468,468,kaputa,6,6421.5340962473865,384108.75079929305,480.3060467131765,6403.546380776709,-0.1468856457048693,117.25090909090908
691,691,kasama,9,6571.122515922983,199443.1752658448,195.6602588160627,6568.208902158184,0.3062991307085823,118.69636363636364
618,618,kasempa,8,6281.317802273056,224015.39206746372,299.8276043918418,6274.157851122099,0.350437506484073,116.21090909090908
545,545,katete,7,5823.948772656388,374640.4540131245,257.39272196611944,5818.258183787028,0.2885151488670168,121.10363636363635
546,546,kawambwa,7,6743.251391411716,219045.63736554392,506.3658601322418,6724.212440387989,0.5441598422571666,121.17454545454544
103,103,kazungula,1,3751.692495006109,339139.47650098056,149.79030463155658,3748.701033921424,0.3379679574289709,118.31272727272729
622,622,kitwe,8,5130.874081200669,206024.707014601,337.08079404858086,5119.789583119641,-0.2101000464640539,116.08545454545454
31,31,livingstone,10,5212.930584079015,671944.6516181295,121.86169220219968,5211.506020566416,0.4380633565878243,104.66363636363636
106,106,luangwa,1,3727.1214215321834,716648.9339509627,156.5823098821867,3723.830832768325,0.299755409460226,118.00181818181818
255,255,luanshya,3,5005.689716228768,193326.51419594747,881.6687162054661,4927.432374982232,-0.0686425780576045,110.36330275229358
552,552,lufwanyama,7,6047.6346178626045,283485.5600881989,507.3591836447036,6026.314888050703,0.2758134883229224,121.28153564899452
553,553,lukulu,7,9056.724105078174,1004382.5357824836,394.05669700101527,9048.147370321323,0.5472758100638759,121.33272727272728
