,district,cultivar,rmse,%rmse,unbiased rmse,bias,correlation,season length
0,chadiza,10,4687.399598652813,214977.59132238603,187.528909526976,4683.646859610808,0.034526776675589045,104.61272727272727
1,chama,10,5144.661329093931,247825.06032691285,152.13716660997054,5142.411348152773,0.07544232353386049,104.6
2,chavuma,10,5670.232117975954,248744.61382649903,189.78891694800225,5667.055005797084,-0.29752077119212306,104.88727272727273
3,chibombo,10,5039.142270894822,258307.90856636723,146.79364359244343,5037.003717739334,0.02274318361692476,104.85636363636364
4,chiengi,10,5165.967388081007,232944.7128402273,139.8811467842673,5164.073229485695,0.2920580155323166,104.77272727272727
5,chililabombwe,10,5010.881947535415,197239.90083259845,243.1421564034674,5004.979498850697,-0.2314723873627729,111.2090909090909
6,chilubi,10,5638.382408550508,215007.81028652206,133.82857991922523,5636.793955454524,0.48365514050603015,104.9
7,chingola,10,4538.532468353408,152213.97419945523,456.5129804228497,4515.514684396843,-0.620201907529385,104.56181818181818
8,chinsali,10,5299.962758190866,160199.49133121944,144.46614969081853,5297.993466379855,0.5169352514887905,104.73272727272727
9,chipata,10,4630.778728088971,218327.9242038297,456.02659673912103,4608.2698891870305,-0.18402896508321284,104.57818181818182
10,choma,10,4898.161363050072,292843.2202845447,182.84651532740685,4894.747377578252,0.3478080342729192,104.64181818181818
11,chongwe,10,4360.75341400607,195786.59984010708,469.8858456960857,4335.363609869427,0.1126455501925267,104.85272727272728
12,gwembe,10,4975.250265515902,372425.23428911174,184.36372706473162,4971.833185119836,-0.17251019921096497,104.75090909090909
13,ikelenge,10,4439.833957212863,159733.26996514283,422.26205544338393,4420.076470126117,0.06613530468356514,104.58181818181818
14,isoka,10,5172.81719266663,160653.44545028717,111.02443912895374,5171.625593820919,-0.025219408954353807,104.78363636363636
15,itezhitezhi,10,5132.873043227606,396523.97175575513,112.33194051388578,5131.643714545371,-0.5196440289803791,104.79636363636364
16,kabompo,10,5811.107339069267,227435.84886662257,181.965106069282,5808.257673894806,-0.12116129703063096,104.75636363636363
17,kabwe,10,4685.122183914328,170278.94521898328,257.22266531486076,4678.055833212605,0.05872263137531659,104.68
18,kafue,10,5197.455036057756,217913.35725285558,159.06723307274913,5195.020352915348,-0.029564439710986292,104.60545454545455
19,kalabo,10,5591.741224537932,1131618.481349809,183.72204919616863,5588.722227024362,0.003992220010205029,104.72181818181818
20,kalomo,10,4663.388261900288,307930.35613020346,315.65707364341176,4652.692843191808,0.16218243035916813,104.7
21,kalulushi,10,4415.0275099845885,154336.2678648875,350.16627658922744,4401.11934542343,-0.025109945563451325,104.67090909090909
22,kaoma,10,5445.413764186792,346759.45539241686,170.83816126377775,5442.733264257121,0.07669065283855009,104.62363636363636
23,kapirimposhi,10,4964.660504344987,212434.17355091314,157.22739251764744,4962.170237954872,-0.1776133930396657,104.72727272727273
24,kaputa,10,4959.337857419037,296646.41511723323,277.85322999778816,4951.548198958528,-0.44681907512621405,104.74181818181818
25,kasama,10,5336.243217197219,161962.7831698024,154.71808775302932,5333.999811249093,-0.08451739712077075,104.8490909090909
26,kasempa,10,4948.931715311481,176497.49836243255,116.0624599847917,4947.570578394825,0.30254619700009966,104.81090909090909
27,katete,10,4467.231322986276,287366.12157079007,418.82483303073604,4447.554547423392,-0.24968996942916605,104.67636363636363
28,kawambwa,10,5012.358534484796,162819.8633213036,105.0351783442789,5011.257894933443,0.23286269047170222,104.85272727272728
29,kazungula,10,5083.760181162251,459553.59315585066,113.059002000055,5082.502852103243,-0.6384905474618844,104.66909090909091
30,kitwe,10,4404.6746957473715,176864.95503971184,578.1183493357299,4366.570547869177,-0.5479664820662558,104.84335154826958
31,livingstone,10,5212.930584079015,671944.6516181295,121.86169220219969,5211.506020566416,0.43806335658782436,104.66363636363636
32,luangwa,10,5085.906582865119,977915.4254883722,163.88674196363127,5083.26537822287,-0.31210839603578516,104.89818181818181
33,luanshya,10,4269.52078242953,164894.67325116417,692.0065991518644,4213.0671224569805,-0.2390710047119138,104.67090909090909
34,lufwanyama,10,4544.287823303179,213015.5110538709,399.88294436252346,4526.6594141628875,0.08734527187185347,104.9
35,lukulu,10,5639.845457653944,625453.7751683997,177.86434251044167,5637.040097594053,0.4474991989541386,104.71454545454546
36,lundazi,10,4459.183449351843,188458.17832863567,409.7727527128256,4440.31567865479,-0.030448155441647733,104.77818181818182
37,lusaka,10,4484.46128607165,149276.92840251853,451.0385553508079,4461.721332385344,0.3798148899629139,104.6509090909091
38,luwingu,10,5370.300160061189,157225.35362618198,118.38048015627774,5368.995238503308,0.024376055554481343,104.99818181818182
39,mafinga,10,5348.860200918608,147660.55078481554,123.60940193430477,5347.457597013901,0.008306693412697422,104.95272727272727
40,mambwe,10,4380.799312188772,307488.8359393768,495.5371341875624,4352.682570819378,-0.17333000486853048,104.40545454545455
41,mansa,10,5155.433104701373,174390.66774433106,140.23112449812348,5153.525563027008,-0.3357603223160116,104.77454545454546
42,masaiti,10,4845.5655856288195,216907.27516912934,201.34453216251572,4841.380611354433,-0.09643962318800672,104.72181818181818
43,mazabuka,10,5164.329387134776,272611.2035060915,132.574863825078,5162.627424510275,-0.18959331708544325,105.15636363636364
44,mbala,10,5754.328232953628,237700.21756478222,104.50639912228951,5753.379165769427,0.4235315575588201,104.96363636363637
45,milengi,10,4854.593988055587,177208.32533378876,273.4578191712261,4846.8859703937305,-0.5529588616972249,104.58727272727273
46,mkushi,10,4791.576881083729,144249.5136261607,196.82106535556983,4787.532817179259,0.09669399647907219,104.66363636363636
47,mongu,10,5307.038784617851,913498.6010167424,166.84681823478257,5304.415406119986,0.2455739240487328,104.87272727272727
48,monze,10,5130.247087289281,346888.7145827802,127.995003257197,5128.650159231115,-0.2855581963165189,104.72909090909091
49,mpika,10,5257.233962792326,156775.55291287808,167.61738928318968,5254.561194842723,0.5126765198614144,104.67454545454545
50,mpongwe,10,4886.04702544224,168561.91714433234,121.80240207905912,4884.528606701032,0.34988042402812614,104.78909090909092
51,mporokoso,10,4838.457179144172,166822.62529014412,308.8952952929628,4828.586912436977,0.23720262417000762,104.52545454545455
52,mpulungu,10,5363.44998270921,206903.05057075302,72.86405519686969,5362.955019994453,0.1777314494804569,104.83454545454545
53,mufulira,10,4173.653040026192,127117.91755366382,581.3935796728488,4132.960343873996,-0.1910957410174512,104.60727272727273
54,mufumbwe,10,5253.912909998204,221509.34363977157,256.90440144603895,5247.628130342644,-0.17520304118756336,104.68545454545455
55,mumbwa,10,5056.552189469179,300291.1950572915,135.4416878375338,5054.737935246621,0.33749640485830124,104.7
56,mungwi,10,5345.277430717469,166397.03821536162,188.54020214835316,5341.951273037915,-0.35786053518073446,104.76
57,mwense,10,5406.77273856411,228963.3730977493,113.1090408117088,5405.5894952693825,-0.2750553687036214,104.74181818181818
58,mwinilunga,10,4633.493070032068,137206.58391385115,526.4366232658053,4603.490253244781,-0.6016140856404785,104.63387978142076
59,nakonde,10,5294.904334873956,188233.3408393383,310.54791686388415,5285.7896199904235,-0.4521402327210387,119.29315960912052
60,namwala,10,5130.046267755744,457922.0083426032,160.52149417513226,5127.534257245135,0.13976802687450407,105.03090909090909
61,nchelenge,10,5201.964044884391,227257.99761628505,246.20092462385836,5196.134623831867,0.07179367198406814,104.75454545454545
62,ndola,10,4978.061916415335,182053.15357769915,236.85898826723502,4972.423781551784,0.047658687094597606,111.13636363636364
63,nyimba,10,4982.185668487133,297270.8340885464,207.64438791753065,4977.856752001301,0.2377907837944116,104.75636363636363
64,petauke,10,4737.270051589083,275403.0214557469,165.45307389178666,4734.379877240798,0.15596369623524148,104.64727272727272
65,samfya,10,5488.396209043265,190911.9183973947,157.42915040106757,5486.137895646124,-0.009632332331758454,104.58909090909091
66,senanga,10,4944.639590947467,1043447.7694629149,200.62174499434622,4940.567943040613,0.037897704455144336,104.67090909090909
67,serenje,10,5281.401678556497,186970.65656904478,162.39567876299012,5278.904368690391,-0.2308205422130738,104.90181818181819
68,sesheke,10,4865.386174430275,945563.8413110726,135.91985005455606,4863.487269511294,0.1872217352497599,104.4090909090909
