cname, planted_ha, harvested_ha, production_MT , Yield (MT/Ha), Year
Chibombo,"69,254","52,256","148,888",2.15,2011
Kabwe,"5,526","5,084","25,637",4.64,2011
Kapiri-Mposhi,"48,651","37,962","103,335",2.12,2011
Mkushi,"34,536","28,538","130,000",3.76,2011
Mumbwa,"35,944","29,544","95,568",2.66,2011
Serenje,"17,274","16,607","55,065",3.19,2011
Prov Total,"211,185","169,993","558,493",2.64,2011
Chililabombwe,"3,255","2,882","6,804",2.09,2011
Chingola,"7,117","6,484","15,910",2.24,2011
Kalulushi,"2,563","2,492","7,788",3.04,2011
Kitwe,"3,397","2,926","6,095",1.79,2011
Luanshya,"2,508","2,207","5,082",2.03,2011
Lufwanyama,"17,681","14,655","25,560",1.45,2011
Masaiti,"24,472","20,326","55,104",2.25,2011
Mpongwe,"30,484","27,146","92,076",3.02,2011
Mufulira,"3,082","2,716","9,087",2.95,2011
Ndola,"8,093","7,514","26,685",3.3,2011
Prov Total,"102,653","89,348","250,190",2.44,2011
Chadiza,"21,879","21,293","42,951",1.96,2011
Chama,"9,937","9,552","26,811",2.7,2011
Chipata,"69,680","58,806","140,358",2.01,2011
Katete,"43,465","37,708","67,082",1.54,2011
Lundazi,"62,337","60,049","127,437",2.04,2011
Mambwe,"7,537","5,376","11,460",1.52,2011
Nyimba,"16,492","14,205","23,829",1.44,2011
Petauke,"78,717","75,273","144,488",1.84,2011
Prov Total,"310,043","282,264","584,415",1.88,2011
Chienge,"6,667","6,620","16,552",2.48,2011
Kawambwa,"10,674","10,151","32,815",3.07,2011
Mansa,"12,189","11,810","41,552",3.41,2011
Milenge,"3,179","3,030","7,913",2.49,2011
Mwense,"4,272","3,888","9,640",2.26,2011
Nchelenge,"4,233","3,975","8,099",1.91,2011
Samfya,"3,068","3,063","8,315",2.71,2011
Prov Total,"44,283","42,536","124,885",2.82,2011
Chongwe,"27,465","22,609","61,929",2.25,2011
Kafue,"18,797","13,624","40,872",2.17,2011
Luangwa,"1,829","1,095","1,309",0.72,2011
Lusaka,"1,790","1,628","5,413",3.02,2011
Prov Total,"49,881","38,956","109,523",2.2,2011
Chilubi,"1,201","1,010","2,973",2.48,2011
Chinsali,"9,420","8,919","32,059",3.4,2011
Isoka,"25,012","22,129","73,570",2.94,2011
Kaputa,"5,931","2,704","5,578",0.94,2011
Kasama,"11,532","11,374","38,878",3.37,2011
Luwingu,"5,884","5,822","23,424",3.98,2011
Mbala,"27,957","25,147","97,249",3.48,2011
Mpika,"19,612","18,482","78,000",3.98,2011
Mporokoso,"10,446","9,188","29,400",2.81,2011
Mpulungu,"9,303","9,199","34,765",3.74,2011
Mungwi,"6,968","6,766","23,121",3.32,2011
Nakonde,"18,677","17,209","67,974",3.64,2011
Prov Total,"151,944","137,949","506,989",3.34,2011
Chavuma,"2,917","2,599","4,412",1.51,2011
Kabompo,"10,819","10,408","25,021",2.31,2011
Kasempa,"10,409","9,046","31,025",2.98,2011
Mufumbwe,"10,366","8,766","17,771",1.71,2011
Mwinilunga,"5,181","4,972","14,726",2.84,2011
Solwezi,"25,392","21,830","43,446",1.71,2011
Zambezi,"7,920","7,340","14,418",1.82,2011
Prov Total,"73,004","64,961","150,820",2.07,2011
Choma,"38,043","26,006","100,268",2.64,2011
Gwembe,"5,314","4,216","6,814",1.28,2011
Itezhi-tezhi,"14,110","8,313","15,876",1.13,2011
Kalomo,"75,923","60,377","173,069",2.28,2011
Kazungula,"23,827","18,659","40,401",1.7,2011
Livingstone,"1,320",667,"1,602",1.21,2011
Mazabuka,"53,503","35,975","134,190",2.51,2011
Monze,"57,669","37,050","102,186",1.77,2011
Namwala,"26,803","16,984","44,292",1.65,2011
Siavonga,"6,670","3,521","6,678",1,2011
Sinazongwe,"12,472","9,608","14,165",1.14,2011
Prov Total,"315,655","221,374","639,541",2.03,2011
Kalabo,"7,163","5,805","8,020",1.12,2011
Kaoma,"19,530","14,292","39,882",2.04,2011
Lukulu,"7,144","4,646","12,809",1.79,2011
Mongu,"7,869","4,555","5,726",0.73,2011
Senanga,"13,541","7,367","5,884",0.43,2011
Sesheke,"25,735","9,980","10,723",0.42,2011
Shang'ombo,"16,134","7,759","12,480",0.77,2011
Prov Total,"97,117","54,405","95,524",0.98,2011
Chibombo,"57,508","47,214","133,562",2.32,2012
Kabwe,"5,313","4,611","17,705",3.33,2012
Kapiri-Mposhi,"43,825","37,686","121,099",2.76,2012
Mkushi,"23,776","20,245","78,160",3.29,2012
Mumbwa,"34,109","29,057","83,852",2.46,2012
Serenje,"19,518","17,572","59,837",3.07,2012
Prov Total,"184,048","156,386","494,215",2.69,2012
