district,planted_ha,harvested_ha,production_mt,yield(mt/ha),year,yield
chadiza,21652,13568,40629,1.88,2016,2.994472287735849
chadiza,25395,22957,61135,2.41,2014,2.6630221718865705
chadiza,22041,18985,57891,2.63,2020,3.0493020805899396
chadiza,18486,10822,24018,1.30,2018,2.2193679541674367
chadiza,22368,18897,47666,2.13,2019,2.522410964703392
chadiza,21732,20080,56880,2.62,2021,2.8326693227091635
chadiza,24901,23476,50022,2.01,2013,2.1307718521042767
chadiza,19204,19040,39201,2.04,2022,2.058876050420168
chadiza,26702,26565,76979,2.88,2017,2.897760210803689
chadiza,23894,21453,51340,2.15,2012,2.3931384887894467
chadiza,25379,21825,51345,2.02,2015,2.352577319587629
chadiza,21879,21293,42951,1.96,2011,2.017141783684779
chama,8790,6292,16782,1.91,2015,2.6671964399237127
chama,11590,7698,26749,2.31,2017,3.47479864899974
chama,9888,7265,16494,1.67,2018,2.2703372333103924
chama,8809,8073,21850,2.48,2014,2.7065527065527064
chama,9937,9552,26811,2.70,2011,2.806846733668342
chama,9010,6109,16555,1.84,2019,2.709936159764282
chama,12777,11903,30736,2.41,2020,2.582206166512644
chama,8907,8625,14750,1.66,2013,1.710144927536232
chama,11829,9482,28788,2.43,2021,3.0360683400126556
chama,7729,5703,16859,2.18,2012,2.9561634227599507
chama,10265,6910,21394,2.08,2022,3.096092619392185
chama,9103,6884,11447,1.26,2016,1.6628413712957584
chavuma,2067,1741,5416,2.62,2013,3.1108558299827687
chavuma,1887,1760,4563,2.42,2014,2.5926136363636365
chavuma,1787,1694,3403,1.90,2012,2.008854781582054
chavuma,1751,1371,4431,2.53,2015,3.2319474835886215
chavuma,2320,1936,5082,2.19,2017,2.625
chavuma,2917,2599,4412,1.51,2011,1.697575990765679
chavuma,1953,1915,5482,2.81,2016,2.86266318537859
chavuma,1834,1597,4802,2.62,2022,3.0068879148403256
chavuma,1883,1771,6323,3.36,2021,3.57029926595144
chavuma,1448,1236,2900,2.00,2018,2.3462783171521036
chavuma,1959,1194,2522,1.29,2019,2.1122278056951425
chavuma,2209,1935,5398,2.44,2020,2.7896640826873385
chibombo,71938,49404,113106,1.57,2022,2.2894097643915474
chibombo,75405,52995,143426,1.90,2013,2.7064062647419567
chibombo,95574,77500,195700,2.05,2021,2.525161290322581
chibombo,83036,66296,140635,1.69,2020,2.1213195366236275
chibombo,81502,71286,209535,2.57,2014,2.9393569564851445
chibombo,77778,41986,74836,0.96,2019,1.7824036583623113
chibombo,81528,50823,127329,1.56,2015,2.5053420695354465
chibombo,77295,55641,144181,1.87,2018,2.5912726227062777
chibombo,57508,47214,133562,2.32,2012,2.828864319905113
chibombo,71007,58741,173366,2.44,2016,2.951362761955023
chibombo,69254,52256,148888,2.15,2011,2.849203919167177
chibombo,94121,75930,182747,1.94,2017,2.4067825628868693
chiengi,5773,5467,16717,2.90,2012,3.0578013535760014
chiengi,4995,4209,10720,2.15,2013,2.5469232596816345
chiengi,8122,7571,16483,2.03,2021,2.1771232333905695
chiengi,6667,6620,16552,2.48,2011,2.5003021148036253
chiengi,9325,8780,24668,2.65,2016,2.8095671981776764
chiengi,9088,7778,22854,2.51,2020,2.938287477500643
chiengi,6209,5398,11553,1.86,2018,2.1402371248610597
chiengi,6156,5039,13586,2.21,2022,2.6961698749751934
chiengi,7035,5142,12916,1.84,2017,2.5118630882924933
chiengi,6275,5912,12787,2.04,2019,2.162889039242219
chiengi,5728,4697,11820,2.06,2014,2.516499893549074
chiengi,7281,4265,13706,1.88,2015,3.213599062133646
chililabombwe,1609,1321,3716,2.31,2012,2.8130204390613174
chililabombwe,1218,1173,3145,2.58,2018,2.681159420289855
chililabombwe,3255,2882,6804,2.09,2011,2.3608605135322693
chililabombwe,763,713,2034,2.67,2019,2.85273492286115
