district,year,planted_ha,harvested_ha,production_mt,yield(mt/ha),yield,zyield,flag
chadiza,2011,21879,21293,42951,1.96,1.9631153160564925,-0.5134176039117009,0
chadiza,2012,23894,21453,51340,2.15,2.1486565665020505,-0.05032542348527202,0
chadiza,2013,24901,23476,50022,2.01,2.008834986546725,-0.39930593416248744,0
chadiza,2014,25395,22957,61135,2.41,2.40736365426265,0.5953812809544561,0
chadiza,2015,25379,21825,51345,2.02,2.023129358918791,-0.3636286276136144,0
chadiza,2016,21652,13568,40629,1.88,1.8764548309624978,-0.7297134028384502,0
chadiza,2017,26702,26565,76979,2.88,2.882892667215939,1.7822535637257841,0
chadiza,2018,18486,10822,24018,1.3,1.2992534891269067,-2.1703495271171076,1
chadiza,2019,22368,18897,47666,2.13,2.1309907010014304,-0.09441763561684142,0
chadiza,2020,22041,18985,57891,2.63,2.626514223492582,1.14235891909515,0
chadiza,2021,21732,20080,56880,2.62,2.6173384870237437,1.1194572096468813,0
chadiza,2022,19204,19040,39201,2.04,2.0412934805248906,-0.3182928186767894,0
chama,2011,9937,9552,26811,2.7,2.698098017510315,1.54190024063007,0
chama,2012,7729,5703,16859,2.18,2.1812653642127056,0.2596446078653001,0
chama,2013,8907,8625,14750,1.66,1.6560008981699788,-1.0435302514960505,0
chama,2014,8809,8073,21850,2.48,2.480417754569191,1.0018381112017944,0
chama,2015,8790,6292,16782,1.91,1.9092150170648463,-0.4153090503453801,0
chama,2016,9103,6884,11447,1.26,1.2574975282873777,-2.032212347039783,1
chama,2017,11590,7698,26749,2.31,2.3079378774805868,0.5739175985864962,0
chama,2018,9888,7265,16494,1.67,1.6680825242718447,-1.0135558816043038,0
chama,2019,9010,6109,16555,1.84,1.8374028856825748,-0.5934740896056564,0
chama,2020,12777,11903,30736,2.41,2.405572513109494,0.8161479621080748,0
chama,2021,11829,9482,28788,2.43,2.4336799391326402,0.8858821499747711,0
chama,2022,10265,6910,21394,2.08,2.084169508037019,0.018750949724663832,0
chavuma,2011,2917,2599,4412,1.51,1.5125128556736374,-1.45811559848793,0
chavuma,2012,1787,1694,3403,1.9,1.9043088975937326,-0.7397530965508039,0
chavuma,2013,2067,1741,5416,2.62,2.6202225447508467,0.5728827234088151,0
chavuma,2014,1887,1760,4563,2.42,2.4181240063593004,0.2023327531607841,0
chavuma,2015,1751,1371,4431,2.53,2.5305539691604797,0.40847436953531835,0
chavuma,2016,1953,1915,5482,2.81,2.806963645673323,0.9152746572725118,0
chavuma,2017,2320,1936,5082,2.19,2.19051724137931,-0.21498684084927244,0
chavuma,2018,1448,1236,2900,2.0,2.0027624309392267,-0.5592374226506488,0
chavuma,2019,1959,1194,2522,1.29,1.2873915262889228,-1.870878118047015,0
chavuma,2020,2209,1935,5398,2.44,2.4436396559529197,0.24911598708728094,0
chavuma,2021,1883,1771,6323,3.36,3.3579394583112054,1.925495080464311,0
chavuma,2022,1834,1597,4802,2.62,2.618320610687023,0.5693955056566599,0
chibombo,2011,69254,52256,148888,2.15,2.1498830392468307,0.5449870185356306,0
chibombo,2012,57508,47214,133562,2.32,2.322494261667942,0.9529235333470979,0
chibombo,2013,75405,52995,143426,1.9,1.9020754591870566,-0.040662970703331885,0
chibombo,2014,81502,71286,209535,2.57,2.57091850506736,1.5400308988218463,0
chibombo,2015,81528,50823,127329,1.56,1.5617824551074477,-0.8448861269491795,0
chibombo,2016,71007,58741,173366,2.44,2.4415339332741843,1.2342530325431649,0
chibombo,2017,94121,75930,182747,1.94,1.941617704869264,0.052788229428170276,0
chibombo,2018,77295,55641,144181,1.87,1.8653341095801799,-0.12749474153415957,0
chibombo,2019,77778,41986,74836,0.96,0.9621743937874463,-2.26195518744745,1
chibombo,2020,83036,66296,140635,1.69,1.6936629895467026,-0.5332094883388997,0
chibombo,2021,95574,77500,195700,2.05,2.0476280159876117,0.3033251078832352,0
chibombo,2022,71938,49404,113106,1.57,1.5722705663209986,-0.8200993055861224,0
chienge,2011,6667,6620,16552,2.48,2.4826758662066895,0.8130236012983572,0
chienge,2012,5773,5467,16717,2.9,2.8957214619781744,2.076010510654483,1
chienge,2013,4995,4209,10720,2.15,2.146146146146146,-0.2159974932175486,0
chienge,2014,5728,4697,11820,2.06,2.0635474860335195,-0.4685628940366837,0
chienge,2015,7281,4265,13706,1.88,1.8824337316302706,-1.02236204661788,0
chienge,2016,9325,8780,24668,2.65,2.6453619302949063,1.3104756293106954,0
chienge,2017,7035,5142,12916,1.84,1.8359630419331912,-1.1644574311396239,0
chienge,2018,6209,5398,11553,1.86,1.8606861008213884,-1.0888606930199207,0
chienge,2019,6275,5912,12787,2.04,2.0377689243027888,-0.5473870876396442,0
chienge,2020,9088,7778,22854,2.51,2.514744718309859,0.9110818806239854,0
chienge,2021,8122,7571,16483,2.03,2.029426249692194,-0.5728968350623677,0
chienge,2022,6156,5039,13586,2.21,2.2069525666016894,-0.03006714115384209,0
chililabombwe,2011,3255,2882,6804,2.09,2.0903225806451613,-0.9658275127696933,0
chililabombwe,2012,1609,1321,3716,2.31,2.3095090118085766,-0.5372146926221052,0
chililabombwe,2013,1408,1323,2799,1.99,1.9879261363636365,-1.166060841647011,0
chililabombwe,2014,1354,1165,3311,2.45,2.445347119645495,-0.2715871436243933,0
chililabombwe,2015,1591,1357,3921,2.46,2.464487743557511,-0.23415819900054813,0
chililabombwe,2016,1009,998,2676,2.65,2.6521308225966305,0.13277249493538987,0
chililabombwe,2017,1364,1127,2790,2.05,2.0454545454545454,-1.0535656770139632,0
chililabombwe,2018,1218,1173,3145,2.58,2.5821018062397374,-0.0041672509857956725,0
chililabombwe,2019,763,713,2034,2.67,2.6657929226736568,0.15948834231732492,0
chililabombwe,2020,1045,875,2875,2.75,2.751196172248804,0.3264919631887335,0
chililabombwe,2021,2010,1957,7942,3.95,3.9512437810945276,2.6731508654236777,2
chililabombwe,2022,1011,967,3099,3.07,3.065281899109792,0.9406776517983807,0
chilubi,2011,1201,1010,2973,2.48,2.475437135720233,-0.2662096210506195,0
chilubi,2012,1255,1152,3282,2.61,2.615139442231076,0.10253249820395546,0
