province_b,year,production_mt,planted_ha,harvested_ha,yield,yield_h
central,2011,558493,211185,169991,2.644567559249,3.2854268755404696
central,2012,494215,184049,156385,2.6852359969355986,3.1602455478466607
central,2013,478734,217001,159372,2.2061372989064565,3.003877720051201
central,2014,723762,256406,217439,2.8227186571297085,3.3285749106646003
central,2015,484723,273008,164809,1.7754900955283361,2.9411197204036186
central,2016,648113,247934,217708,2.6140545467745446,2.976982931265732
central,2017,684701,298783,255580,2.2916330581057154,2.679008529618906
central,2018,466876,238324,179646,1.9589969956865443,2.598866659986863
central,2019,361599,257819,152774,1.4025304574139221,2.366888344875437
central,2020,562408,277561,234755,2.0262500855667764,2.395723200783796
central,2021,611290,287572,227552,2.125693739307026,2.6863749824216003
central,2022,458704,238499,187895,1.9232952758711777,2.441278373559701
copperbelt,2011,250191,102652,89348,2.4372735066048397,2.800185790392622
copperbelt,2012,248623,95215,85065,2.611174709867143,2.9227414330218067
copperbelt,2013,208545,80197,71071,2.6004089928550944,2.934319201924836
copperbelt,2014,235416,86334,79080,2.726805198415456,2.9769347496206375
copperbelt,2015,207809,90473,71643,2.2969173123473303,2.9006183437321162
copperbelt,2016,236727,84080,78876,2.8154971455756423,3.001255134641716
copperbelt,2017,248795,91011,83778,2.7336805441100527,2.96969371434028
copperbelt,2018,174461,79454,66338,2.1957484833991994,2.6298803099279446
copperbelt,2019,221951,89875,70455,2.4695521557719053,3.1502519338584913
copperbelt,2020,239965,91485,84294,2.6229983057331805,2.846762521650414
copperbelt,2021,262943,96482,89010,2.7253062747455483,2.9540838108077745
copperbelt,2022,217870,80641,74143,2.7017274091343113,2.9385107157789676
eastern,2011,584416,310044,282262,1.8849453625936963,2.0704735316833296
eastern,2012,594385,285354,252313,2.0829741303784073,2.355744650493633
eastern,2013,587038,306301,275851,1.9165396129950605,2.128098139937865
eastern,2014,767431,341992,311050,2.2440027836908465,2.467227133901302
eastern,2015,568581,333314,260859,1.7058419388324524,2.179648775775419
eastern,2016,512367,296383,260619,1.7287327545776916,1.9659618063149655
eastern,2017,908162,402398,377852,2.25687503417015,2.40348602098176
eastern,2018,476241,293412,242001,1.6231135740869493,1.9679298845872537
eastern,2019,516966,299247,252827,1.7275561659766012,2.044742056821463
eastern,2020,635282,304343,268231,2.0873882428707082,2.3684137925892235
eastern,2021,714759,330965,303780,2.159621107972142,2.352883665810784
eastern,2022,487087,272095,222250,1.7901357981587314,2.191617547806524
luapula,2011,124886,44282,42537,2.8202429881215845,2.9359381244563556
luapula,2012,128775,46826,43089,2.7500747447998974,2.988581772610179
luapula,2013,94032,37117,32926,2.533394401487189,2.855858591994169
luapula,2014,131747,45944,43333,2.8675561553195195,3.0403387718367063
luapula,2015,140893,54073,43320,2.6056072346642503,3.2523776546629732
luapula,2016,148107,51431,48354,2.8797223464447512,3.0629730735823304
luapula,2017,124690,47625,41999,2.618162729658793,2.9688802114336057
luapula,2018,103895,39874,36939,2.605582585143201,2.8126099786133896
luapula,2019,120676,48534,43414,2.486421889809206,2.779656332058783
luapula,2020,178102,68508,58333,2.5997255794943657,3.0531945896833697
luapula,2021,210242,68265,65049,3.0797919871090604,3.2320558348322033
luapula,2022,163112,59209,53742,2.7548514583931496,3.035093595325816
lusaka,2011,109523,49881,38956,2.1956857320422607,2.811453948043947
lusaka,2012,96824,36935,33123,2.6214701502639772,2.923165172236814
lusaka,2013,96907,43668,36334,2.2191765136942383,2.667116199702758
lusaka,2014,148290,47377,41560,3.1299997889271167,3.568094321462945
lusaka,2015,96333,47508,33302,2.0277216468805253,2.892709146597802
lusaka,2016,115880,44701,38578,2.592335741929711,3.0037845404116337
lusaka,2017,142682,56792,47532,2.512360895900831,3.0018093074139527
lusaka,2018,97193,52371,35279,1.8558553397872868,2.754981717168854
lusaka,2019,35130,54909,17412,0.6397858274599793,2.0175740868366643
lusaka,2020,115192,53569,45378,2.1503481491160934,2.538498832033144
lusaka,2021,145082,59126,54871,2.4537766803098466,2.644056058755991
lusaka,2022,138832,67301,46270,2.062851963566663,3.000475470066998
muchinga,2011,251603,72721,66739,3.459839661170776,3.769954599259803
muchinga,2012,210130,62415,59956,3.36665865577185,3.504736806991794
muchinga,2013,190663,62158,55730,3.0673927732552526,3.4211914588193073
muchinga,2014,223129,70086,66950,3.1836458065804867,3.3327707244212097
muchinga,2015,228309,68607,60304,3.3277799641436006,3.785967763332449
muchinga,2016,231098,70696,65414,3.2688978160009055,3.5328522946158314
muchinga,2017,298170,86834,84446,3.4337932146394268,3.5308954835042514
muchinga,2018,238532,74300,68699,3.2103903095558546,3.472132054323935
muchinga,2019,223724,74732,66095,2.9936840978429586,3.3848853922384445
muchinga,2020,298239,100684,89995,2.9621290373842912,3.313950775043058
muchinga,2021,318721,94696,90696,3.3657282250570244,3.514168210284908
muchinga,2022,233362,78465,71643,2.974090358758682,3.257289616571054
northern,2011,255388,79222,71210,3.223700487238393,3.5864064035950007
northern,2012,271381,98576,94165,2.7530129037493913,2.8819731322678277
northern,2013,210478,80430,72038,2.6169091135148577,2.921763513701102
northern,2014,283757,101985,94854,2.7823405402755306,2.9915132730301304
northern,2015,276200,105297,97498,2.623056687275041,2.832878623151244
northern,2016,264722,101598,98029,2.6055827870627373,2.700445786450948
northern,2017,308456,109874,101797,2.807361159145931,3.0301089423067475
northern,2018,240370,92329,84834,2.6034073801297533,2.8334158474196665
northern,2019,240342,101589,95553,2.365827008829696,2.5152742457065713
northern,2020,328024,125522,113994,2.6132789471168403,2.8775549590329317
northern,2021,396075,125975,120374,3.1440762055963485,3.290370013458056
northern,2022,263317,111066,99327,2.3708155511137523,2.651011306089986
northwestern,2011,150819,73004,64961,2.0659004986028164,2.3216853188836377
northwestern,2012,156075,64304,60312,2.427142946006469,2.5877934739355353
northwestern,2013,132528,59198,51051,2.238724281225717,2.5959922430510667
northwestern,2014,160866,68124,61540,2.3613704421349304,2.6140071498212545
northwestern,2015,190433,73932,64826,2.575785857274252,2.9376021966494923
northwestern,2016,179855,73418,67488,2.4497398458143778,2.6649922949265052
northwestern,2017,153513,78036,64604,1.9672074427187451,2.3762150950405547
northwestern,2018,151079,67523,59180,2.2374450187343573,2.552872592091923
northwestern,2019,182207,80023,66972,2.2769328817964833,2.720644448426208
northwestern,2020,221983,85496,73249,2.59641386731543,3.0305260140070174
northwestern,2021,242542,93947,78653,2.581689676093968,3.0836967439258514
northwestern,2022,232842,85589,73310,2.7204664150767037,3.1761287682444412
southern,2011,639541,315654,221376,2.0260823559973895,2.8889355666377567
southern,2012,573175,309557,232585,1.8515976056105983,2.4643678655115333
southern,2013,453533,330234,195587,1.3733685810667586,2.3188299835878663
southern,2014,598000,311915,235973,1.9171889777663786,2.534188233399584
southern,2015,372450,344008,133301,1.0826783098067487,2.7940525577452533
southern,2016,448187,301771,213116,1.4851891003443007,2.103019013119616
southern,2017,652273,368285,300859,1.771109331088695,2.168035524946902
southern,2018,361155,336826,227182,1.0722301722551109,1.5897166148726571
southern,2019,79035,418468,53232,0.1888674880755518,1.4847272317403066
southern,2020,470784,355085,232302,1.3258346593069266,2.026603300875584
southern,2021,608279,395616,283788,1.537549037450457,2.143427488124938
southern,2022,390786,400160,206706,0.9765743702518992,1.8905401875126993
western,2011,95524,97116,54404,0.9836072325878331,1.755826777442835
western,2012,79103,91751,57663,0.862148641431701,1.3718155489655413
western,2013,80343,96102,47919,0.8360179808952988,1.676641833093345
western,2014,78278,89166,53420,0.877890675818137,1.4653313365780607
western,2015,52493,104231,33957,0.5036217631990483,1.5458668315811173
western,2016,87991,92963,69572,0.9465163559695793,1.2647473121370667
western,2017,85108,105101,75498,0.8097734560089819,1.127288140083181
western,2018,85107,118136,85908,0.7204154533757703,0.9906760720771057
western,2019,22758,132120,22961,0.17225249772933696,0.9911589216497539
western,2020,110203,130010,90384,0.8476501807553265,1.2192755354930076
western,2021,110314,129580,96459,0.8513196480938416,1.1436361562943842
western,2022,120330,114419,80208,1.051661000358332,1.5002244165170557
