,index,province_b,year,yield,yield_bias
0,0,central,1999,4.276296969696969,2.3181353138092096
1,1,central,2000,4.152528181818182,2.1943665259304224
2,2,central,2001,4.227885454545454,2.2697237986576946
3,3,central,2002,4.012503636363636,2.0543419804758765
4,4,central,2003,4.246661818181818,2.288500162294058
5,5,central,2004,4.075728181818182,2.117566525930422
6,6,central,2005,4.016318181818182,2.058156525930422
7,7,central,2006,3.8084527272727273,1.8502910713849676
8,8,central,2007,4.047779090909091,2.0896174350213315
9,9,central,2008,4.078966363636364,2.1208047077486043
10,10,central,2009,3.7969545454545455,1.8387928895667858
11,11,central,2010,4.04819,2.0900283441122403
12,12,central,2011,4.187438181818181,2.2292765259304215
13,13,central,2012,4.068515454545454,2.1103537986576946
14,14,central,2013,3.9275145454545455,1.9693528895667858
15,15,central,2014,3.9350590909090912,1.9768974350213315
16,16,central,2015,3.966218181818182,2.008056525930422
17,17,central,2016,4.123156363636364,2.1649947077486047
18,18,central,2017,4.08738090909091,2.12921925320315
19,19,central,2018,3.6666009090909095,1.7084392532031498
20,20,central,2019,3.8993281818181815,1.9411665259304218
21,21,central,2020,4.124779090909091,2.1666174350213314
22,22,central,2021,3.9002054545454543,1.9420437986576946
23,23,central,2022,3.560296363636364,1.6021347077486041
24,24,copperbelt,1999,4.270292,2.4366267747526846
25,25,copperbelt,2000,4.126156,2.292490774752684
26,26,copperbelt,2001,3.996542,2.162876774752684
27,27,copperbelt,2002,4.036454000000001,2.202788774752685
28,28,copperbelt,2003,4.262805,2.4291397747526844
29,29,copperbelt,2004,3.952418,2.118752774752684
30,30,copperbelt,2005,4.044480999999999,2.2108157747526835
31,31,copperbelt,2006,3.835027,2.0013617747526844
32,32,copperbelt,2007,4.089112,2.2554467747526843
33,33,copperbelt,2008,4.085635,2.251969774752684
34,34,copperbelt,2009,3.813334,1.9796687747526838
35,35,copperbelt,2010,4.083467000000001,2.249801774752685
36,36,copperbelt,2011,4.159103,2.325437774752684
37,37,copperbelt,2012,4.10256,2.2688947747526846
38,38,copperbelt,2013,3.959451,2.125785774752684
39,39,copperbelt,2014,3.830112,1.9964467747526842
40,40,copperbelt,2015,3.962215000000001,2.1285497747526847
41,41,copperbelt,2016,4.144428,2.3107627747526838
42,42,copperbelt,2017,4.101198999999999,2.2675337747526836
43,43,copperbelt,2018,3.640418,1.806752774752684
44,44,copperbelt,2019,3.902237,2.0685717747526837
45,45,copperbelt,2020,4.128741,2.295075774752684
46,46,copperbelt,2021,3.897141,2.0634757747526837
47,47,copperbelt,2022,3.527326,1.693660774752684
48,48,eastern,1999,4.2784088888888885,2.0007752548526234
49,49,eastern,2000,4.145333333333333,1.8676996992970682
50,50,eastern,2001,4.168887333333333,1.891253699297068
51,51,eastern,2002,4.012838666666666,1.7352050326304012
52,52,eastern,2003,4.251047333333333,1.9734136992970681
53,53,eastern,2004,4.0282686666666665,1.7506350326304014
54,54,eastern,2005,4.034329333333334,1.7566956992970688
55,55,eastern,2006,3.81425,1.5366163659637349
56,56,eastern,2007,4.050248,1.7726143659637348
57,57,eastern,2008,4.074672666666666,1.7970390326304013
58,58,eastern,2009,3.797464666666667,1.5198310326304019
59,59,eastern,2010,4.056015333333334,1.7783816992970687
60,60,eastern,2011,4.172861999999999,1.8952283659637343
61,61,eastern,2012,4.07513,1.7974963659637346
62,62,eastern,2013,3.940654,1.6630203659637348
63,63,eastern,2014,3.915424,1.6377903659637347
64,64,eastern,2015,3.952764,1.675130365963735
65,65,eastern,2016,4.133624666666667,1.8559910326304019
66,66,eastern,2017,4.1073,1.8296663659637353
67,67,eastern,2018,3.671528666666666,1.3938950326304012
68,68,eastern,2019,3.899885333333333,1.6222516992970681
69,69,eastern,2020,4.119252666666666,1.8416190326304012
70,70,eastern,2021,3.914856,1.6372223659637348
71,71,eastern,2022,3.5581313333333333,1.2804976992970682
72,72,luapula,1999,4.281545,2.7970091338601524
73,73,luapula,2000,4.152310833333334,2.667774967193486
74,74,luapula,2001,4.292721666666666,2.808185800526818
75,75,luapula,2002,3.992344166666667,2.507808300526819
76,76,luapula,2003,4.25856,2.774024133860152
77,77,luapula,2004,4.091830833333334,2.6072949671934857
78,78,luapula,2005,4.021889166666667,2.537353300526819
79,79,luapula,2006,3.81831,2.333774133860152
80,80,luapula,2007,4.0509025,2.5663666338601523
81,81,luapula,2008,4.072488333333333,2.5879524671934853
82,82,luapula,2009,3.794245833333333,2.309709967193485
83,83,luapula,2010,4.044872499999999,2.5603366338601514
84,84,luapula,2011,4.1907950000000005,2.7062591338601525
85,85,luapula,2012,4.069031666666667,2.5844958005268186
86,86,luapula,2013,3.9290641666666666,2.4445283005268186
87,87,luapula,2014,3.914124166666667,2.429588300526819
88,88,luapula,2015,3.968038333333334,2.4835024671934858
89,89,luapula,2016,4.127540833333334,2.6430049671934857
90,90,luapula,2017,4.0838025,2.599266633860152
91,91,luapula,2018,3.674950833333333,2.190414967193485
92,92,luapula,2019,3.909144166666667,2.424608300526819
93,93,luapula,2020,4.1141016666666665,2.6295658005268185
94,94,luapula,2021,3.8912325,2.406696633860152
95,95,luapula,2022,3.5506675,2.066131633860152
96,96,lusaka,1999,4.282557777777778,2.364869550111779
97,97,lusaka,2000,4.143173333333333,2.2254851056673344
98,98,lusaka,2001,4.230415,2.312726772334001
99,99,lusaka,2002,3.9998750000000007,2.0821867723340017
100,100,lusaka,2003,4.230078333333334,2.312390105667335
