index,province_b,year,yield,yield_bias
0,central,1999,4.276296969696969,3.013132998236397
1,central,2000,4.152528181818182,2.8893642103576096
2,central,2001,4.227885454545454,2.964721483084882
3,central,2002,4.012503636363636,2.7493396649030637
4,central,2003,4.246661818181818,2.9834978467212454
5,central,2004,4.075728181818182,2.812564210357609
6,central,2005,4.016318181818182,2.7531542103576094
7,central,2006,3.8084527272727273,2.545288755812155
8,central,2007,4.047779090909091,2.7846151194485187
9,central,2008,4.078966363636364,2.8158023921757915
10,central,2009,3.7969545454545455,2.533790573993973
11,central,2010,4.04819,2.7850260285394275
12,central,2011,4.187438181818181,2.9242742103576087
13,central,2012,4.068515454545454,2.805351483084882
14,central,2013,3.9275145454545455,2.664350573993973
15,central,2014,3.9350590909090912,2.6718951194485188
16,central,2015,3.966218181818182,2.7030542103576094
17,central,2016,4.123156363636364,2.859992392175792
18,central,2017,4.08738090909091,2.824216937630337
19,central,2018,3.6666009090909095,2.403436937630337
20,central,2019,3.8993281818181815,2.636164210357609
21,central,2020,4.124779090909091,2.8616151194485187
22,central,2021,3.9002054545454543,2.637041483084882
23,central,2022,3.560296363636364,2.2971323921757913
24,copperbelt,1999,4.270292,3.1005872494192452
25,copperbelt,2000,4.126156,2.9564512494192448
26,copperbelt,2001,3.996542,2.8268372494192446
27,copperbelt,2002,4.036454000000001,2.8667492494192457
28,copperbelt,2003,4.262805,3.093100249419245
29,copperbelt,2004,3.952418,2.7827132494192455
30,copperbelt,2005,4.044480999999999,2.874776249419244
31,copperbelt,2006,3.835027,2.665322249419245
32,copperbelt,2007,4.089112,2.919407249419245
33,copperbelt,2008,4.085635,2.9159302494192447
34,copperbelt,2009,3.813334,2.643629249419245
35,copperbelt,2010,4.083467000000001,2.9137622494192454
36,copperbelt,2011,4.159103,2.989398249419245
37,copperbelt,2012,4.10256,2.9328552494192452
38,copperbelt,2013,3.959451,2.7897462494192453
39,copperbelt,2014,3.830112,2.6604072494192454
40,copperbelt,2015,3.962215000000001,2.792510249419246
41,copperbelt,2016,4.144428,2.9747232494192444
42,copperbelt,2017,4.101198999999999,2.931494249419244
43,copperbelt,2018,3.640418,2.470713249419245
44,copperbelt,2019,3.902237,2.732532249419245
45,copperbelt,2020,4.128741,2.9590362494192446
46,copperbelt,2021,3.897141,2.7274362494192452
47,copperbelt,2022,3.527326,2.3576212494192452
48,eastern,1999,4.2784088888888885,2.4016591394475157
49,eastern,2000,4.145333333333333,2.2685835838919606
50,eastern,2001,4.168887333333333,2.2921375838919604
51,eastern,2002,4.012838666666666,2.1360889172252935
52,eastern,2003,4.251047333333333,2.3742975838919604
53,eastern,2004,4.0282686666666665,2.1515189172252938
