cname,planting,harvest,lai,wsgd,gwad
Chiengi,2000-01-01,2000-05-21,0.41,0,3908
Lusaka,2000-01-01,2000-05-21,0.41,0,3902
Luanshya,2000-01-01,2000-05-21,0.41,0,3908
Ndola,2000-01-01,2000-05-21,0.41,0,3908
Lusaka,2000-01-01,2000-05-21,0.41,0,3892
Nchelenge,2000-01-01,2000-05-21,0.41,0,3908
Nchelenge,2000-01-01,2000-05-21,0.41,0,3908
Luanshya,2000-01-01,2000-05-21,0.41,0,3908
Ndola,2000-01-01,2000-05-21,0.41,0,3908
Ndola,2000-01-01,2000-05-21,0.41,0,3908
Mwense,2000-01-01,2000-05-21,0.41,0,3908
Luanshya,2000-01-01,2000-05-21,0.41,0,3908
Luanshya,2000-01-01,2000-05-21,0.41,0,3908
Lusaka,2000-01-01,2000-05-21,0.41,0,3894
Kitwe,2000-01-01,2000-05-21,0.41,0,3908
Mwense,2000-01-01,2000-05-21,0.41,0,3908
Nchelenge,2000-01-01,2000-05-21,0.41,0,3908
Lusaka,2000-01-01,2000-05-21,0.41,0,3907
Chiengi,2000-01-01,2000-05-21,0.41,0,3908
Mwense,2000-01-01,2000-05-21,0.41,0,3908
Chiengi,2000-01-01,2000-05-21,0.41,0,3908
Lusaka,2000-01-01,2000-05-21,0.41,0,3908
Nchelenge,2000-01-01,2000-05-21,0.41,0,3908
Luanshya,2000-01-01,2000-05-21,0.41,0,3908
Lusaka,2000-01-01,2000-05-21,0.41,0,3898
Nchelenge,2000-01-01,2000-05-21,0.41,0,3908
Kitwe,2000-01-02,2000-05-22,0.42,0,3970
Kitwe,2000-01-02,2000-05-22,0.42,0,3970
Luanshya,2000-01-02,2000-05-22,0.42,0,3969
Kitwe,2000-01-02,2000-05-22,0.42,0,3969
Lusaka,2000-01-02,2000-05-22,0.41,0,3961
Ndola,2000-01-02,2000-05-22,0.42,0,3970
Mwense,2000-01-02,2000-05-22,0.42,0,3969
Mwense,2000-01-02,2000-05-22,0.42,0,3969
Kitwe,2000-01-02,2000-05-22,0.42,0,3970
Mwense,2000-01-02,2000-05-22,0.42,0,3970
Kitwe,2000-01-02,2000-05-22,0.42,0,3970
Chiengi,2000-01-02,2000-05-22,0.42,0,3970
Mwense,2000-01-02,2000-05-22,0.42,0,3970
Lusaka,2000-01-02,2000-05-22,0.41,0,3960
Kitwe,2000-01-02,2000-05-22,0.42,0,3970
Chiengi,2000-01-02,2000-05-22,0.42,0,3969
Chiengi,2000-01-02,2000-05-22,0.42,0,3970
Chiengi,2000-01-02,2000-05-22,0.42,0,3970
Chiengi,2000-01-02,2000-05-22,0.42,0,3970
Nchelenge,2000-01-02,2000-05-22,0.42,0,3970
Luanshya,2000-01-02,2000-05-22,0.42,0,3970
Nchelenge,2000-01-02,2000-05-22,0.42,0,3970
Chiengi,2000-01-02,2000-05-22,0.42,0,3970
Ndola,2000-01-02,2000-05-22,0.42,0,3970
Kitwe,2000-01-02,2000-05-22,0.42,0,3970
Lusaka,2000-01-03,2000-05-23,0.42,0,4001
Mwense,2000-01-03,2000-05-23,0.42,0,4014
Chiengi,2000-01-03,2000-05-23,0.42,0,4014
Chiengi,2000-01-03,2000-05-23,0.42,0,4014
Nchelenge,2000-01-03,2000-05-23,0.42,0,4014
Kitwe,2000-01-03,2000-05-23,0.42,0,4014
Lusaka,2000-01-03,2000-05-23,0.42,0,4012
Nchelenge,2000-01-03,2000-05-23,0.42,0,4014
Nchelenge,2000-01-03,2000-05-23,0.42,0,4013
Nchelenge,2000-01-03,2000-05-23,0.42,0,4014
Nchelenge,2000-01-03,2000-05-23,0.42,0,4014
Chiengi,2000-01-03,2000-05-23,0.42,0,4014
Nchelenge,2000-01-03,2000-05-23,0.42,0,4014
Nchelenge,2000-01-03,2000-05-23,0.42,0,4014
Lusaka,2000-01-03,2000-05-23,0.42,0,4001
Ndola,2000-01-03,2000-05-23,0.42,0,4013
Mwense,2000-01-03,2000-05-23,0.42,0,4013
Mwense,2000-01-03,2000-05-23,0.42,0,4014
Nchelenge,2000-01-03,2000-05-23,0.42,0,4014
Lusaka,2000-01-03,2000-05-23,0.42,0,4001
Luanshya,2000-01-03,2000-05-23,0.42,0,4014
Luanshya,2000-01-03,2000-05-23,0.42,0,4014
Lusaka,2000-01-03,2000-05-23,0.42,0,4004
Nchelenge,2000-01-03,2000-05-23,0.42,0,4014
Luanshya,2000-01-04,2000-05-24,0.42,0,4082
Chiengi,2000-01-04,2000-05-24,0.42,0,4082
Chiengi,2000-01-04,2000-05-24,0.42,0,4082
Nchelenge,2000-01-04,2000-05-24,0.42,0,4082
Ndola,2000-01-04,2000-05-24,0.42,0,4082
Luanshya,2000-01-04,2000-05-24,0.42,0,4082
Ndola,2000-01-04,2000-05-24,0.42,0,4082
Lusaka,2000-01-04,2000-05-24,0.42,0,4066
Ndola,2000-01-04,2000-05-24,0.42,0,4082
Ndola,2000-01-04,2000-05-24,0.42,0,4082
