cname,planting,harvest,lai,wsgd,gwad
Central,1998-01-23,1998-06-05,0.42,0,4160
Central,1998-01-27,1998-06-10,0.43,0,4491
Central,1998-01-18,1998-05-31,0.41,0,4059
Central,1998-01-01,1998-05-11,0.45,0,3531
Central,1998-01-18,1998-05-31,0.41,0,4059
Central,1998-01-22,1998-06-04,0.42,0,4156
Central,1998-01-30,1998-06-18,0.45,0,5076
Central,1998-01-01,1998-05-11,0.45,0,3531
Central,1998-01-08,1998-05-19,0.43,0,3763
Central,1998-01-07,1998-05-17,0.43,0,3738
Central,1998-01-21,1998-06-03,0.41,0,4122
Central,1998-01-02,1998-05-12,0.45,0,3579
Central,1998-01-22,1998-06-04,0.42,0,4156
Central,1998-01-17,1998-05-29,0.42,0,3932
Central,1998-01-12,1998-05-25,0.45,0,3984
Central,1998-01-14,1998-05-28,0.45,0,4101
Central,1998-01-19,1998-06-01,0.42,0,4034
Central,1998-01-19,1998-06-01,0.42,0,4034
Central,1998-01-05,1998-05-15,0.46,0,3780
Central,1998-01-14,1998-05-28,0.45,0,4101
Central,1998-01-10,1998-05-21,0.45,0,3814
Central,1998-01-15,1998-05-29,0.46,0,4116
Central,1998-01-06,1998-05-16,0.45,0,3817
Central,1998-01-10,1998-05-21,0.45,0,3814
Central,1998-01-13,1998-05-26,0.46,0,4011
Central,1998-01-11,1998-05-23,0.45,0,4060
Central,1998-01-20,1998-06-02,0.43,0,3989
Central,1998-01-03,1998-05-13,0.46,0,3661
Central,1998-01-26,1998-06-08,0.42,0,4287
Central,1998-01-21,1998-06-03,0.41,0,4122
Central,1998-01-08,1998-05-19,0.43,0,3763
Central,1998-01-24,1998-06-06,0.42,0,4174
Central,1998-01-06,1998-05-16,0.45,0,3817
Central,1998-01-26,1998-06-08,0.42,0,4287
Central,1998-01-20,1998-06-02,0.43,0,3989
Central,1998-01-19,1998-06-01,0.42,0,4034
Central,1998-01-07,1998-05-17,0.43,0,3738
Central,1998-01-28,1998-06-11,0.44,0,4556
Central,1998-01-18,1998-05-31,0.41,0,4059
Central,1998-01-04,1998-05-14,0.46,0,3695
Central,1998-01-22,1998-06-04,0.42,0,4156
Central,1998-01-25,1998-06-07,0.42,0,4201
Central,1998-01-06,1998-05-16,0.45,0,3817
Central,1998-01-29,1998-06-12,0.4,0,4705
Central,1998-01-13,1998-05-26,0.46,0,4011
Central,1998-01-02,1998-05-12,0.45,0,3579
Central,1998-01-11,1998-05-23,0.45,0,4060
Central,1998-01-26,1998-06-08,0.42,0,4287
Central,1998-01-19,1998-06-01,0.42,0,4034
Central,1998-01-20,1998-06-02,0.43,0,3989
Central,1998-01-04,1998-05-14,0.46,0,3695
Central,1998-01-25,1998-06-07,0.4,0,4201
Central,1998-01-11,1998-05-23,0.45,0,4060
Central,1998-01-25,1998-06-07,0.41,0,4201
Central,1998-01-16,1998-05-28,0.42,0,3912
Central,1998-01-28,1998-06-11,0.44,0,4556
Central,1998-01-06,1998-05-16,0.45,0,3817
Central,1998-01-22,1998-06-04,0.42,0,4156
Central,1998-01-10,1998-05-21,0.45,0,3814
Central,1998-01-28,1998-06-11,0.44,0,4556
Central,1998-01-18,1998-05-31,0.41,0,4059
Central,1998-01-22,1998-06-04,0.42,0,4156
Central,1998-01-28,1998-06-11,0.44,0,4556
Central,1998-01-07,1998-05-17,0.43,0,3738
Central,1998-01-25,1998-06-07,0.42,0,4201
Central,1998-01-20,1998-06-02,0.43,0,3989
Central,1998-01-30,1998-06-18,0.39,0,5076
Central,1998-01-17,1998-05-29,0.42,0,3932
Central,1998-01-10,1998-05-21,0.45,0,3814
Central,1998-01-22,1998-06-04,0.42,0,4156
Central,1998-01-25,1998-06-07,0.42,0,4201
Central,1998-01-03,1998-05-13,0.46,0,3661
Central,1998-01-12,1998-05-25,0.45,0,3984
Central,1998-01-28,1998-06-11,0.44,0,4556
Central,1998-01-29,1998-06-12,0.41,0,4705
Central,1998-01-22,1998-06-04,0.42,0,4156
Central,1998-01-29,1998-06-12,0.41,0,4705
Central,1998-01-05,1998-05-15,0.46,0,3780
Central,1998-01-17,1998-05-29,0.42,0,3932
Central,1998-01-12,1998-05-25,0.45,0,3984
Central,1998-01-12,1998-05-25,0.45,0,3984
Central,1998-01-23,1998-06-05,0.42,0,4160
Central,1998-01-09,1998-05-20,0.43,0,3780
Central,1998-01-26,1998-06-08,0.42,0,4287
Central,1998-01-23,1998-06-05,0.42,0,4160
Central,1998-01-10,1998-05-21,0.45,0,3814
Central,1998-01-16,1998-05-28,0.42,0,3913
Central,1998-01-10,1998-05-21,0.45,0,3814
Central,1998-01-16,1998-05-28,0.42,0,3912
Central,1998-01-16,1998-05-28,0.42,0,3912
Central,1998-01-03,1998-05-13,0.46,0,3661
Central,1998-01-18,1998-05-31,0.41,0,4059
Central,1998-01-24,1998-06-06,0.42,0,4174
Central,1998-01-15,1998-05-29,0.46,0,4116
Central,1998-01-06,1998-05-16,0.45,0,3817
Central,1998-01-16,1998-05-28,0.42,0,3912
Central,1998-01-28,1998-06-11,0.44,0,4556
Central,1998-01-01,1998-05-11,0.45,0,3531
Central,1998-01-23,1998-06-05,0.42,0,4160
Central,1998-01-26,1998-06-08,0.42,0,4287
Central,1998-11-05,1999-03-14,0.48,0,3969
Central,1998-10-16,1999-02-15,0.47,0,4027
Central,1998-10-27,1999-02-25,0.5,0,4257
Central,1998-11-13,1999-03-24,0.49,0,4062
Central,1998-11-01,1999-03-07,0.44,0,3678
Central,1998-11-13,1999-03-24,0.49,0,4062
Central,1998-10-24,1999-02-22,0.49,0,4244
Central,1998-11-06,1999-03-14,0.5,0,3851
Central,1998-10-19,1999-02-17,0.45,0,3864
Central,1998-10-29,1999-03-03,0.44,0,3697
Central,1998-11-05,1999-03-14,0.48,0,3969
Central,1998-10-22,1999-02-20,0.45,0,3749
Central,1998-11-02,1999-03-11,0.46,0,3700
Central,1998-10-29,1999-03-03,0.44,0,3697
Central,1998-10-15,1999-02-13,0.47,0,3998
Central,1998-11-03,1999-03-12,0.45,0,3707
Central,1998-11-09,1999-03-16,0.46,0,3853
Central,1998-10-22,1999-02-20,0.45,0,3749
Central,1998-10-18,1999-02-15,0.45,0,3900
Central,1998-11-11,1999-03-19,0.46,0,3970
Central,1998-11-05,1999-03-14,0.48,0,3969
Central,1998-11-06,1999-03-14,0.5,0,3851
Central,1998-11-05,1999-03-14,0.48,0,3969
Central,1998-10-19,1999-02-17,0.45,0,3864
Central,1998-10-26,1999-02-24,0.44,0,3908
Central,1998-11-04,1999-03-13,0.43,0,3686
Central,1998-10-26,1999-02-24,0.44,0,3908
Central,1998-11-13,1999-03-24,0.49,0,4062
Central,1998-10-19,1999-02-17,0.45,0,3864
Central,1998-10-25,1999-02-23,0.48,0,4217
Central,1998-11-07,1999-03-16,0.47,0,3963
Central,1998-11-08,1999-03-14,0.45,0,3752
Central,1998-11-02,1999-03-11,0.46,0,3700
Central,1998-11-03,1999-03-12,0.45,0,3707
Central,1998-11-06,1999-03-14,0.5,0,3851
Central,1998-10-26,1999-02-24,0.44,0,3909
Central,1998-10-19,1999-02-17,0.45,0,3864
Central,1998-10-23,1999-02-21,0.43,0,3872
Central,1998-11-09,1999-03-16,0.46,0,3853
Central,1998-10-21,1999-02-19,0.45,0,3742
Central,1998-11-09,1999-03-16,0.46,0,3853
Central,1998-10-29,1999-03-03,0.44,0,3697
Central,1998-10-17,1999-02-13,0.45,0,3895
Central,1998-10-26,1999-02-24,0.44,0,3908
Central,1998-10-15,1999-02-13,0.47,0,3998
Central,1998-10-25,1999-02-23,0.48,0,4217
Central,1998-11-05,1999-03-14,0.48,0,3969
Central,1998-11-04,1999-03-13,0.43,0,3686
Central,1998-10-23,1999-02-21,0.43,0,3872
