id,gid,cname,season,ccode,ensemble,planting,harvest,wsgd,gwad
497711,10,Western,2010 1,ZMB.10_1,27,2011-01-01,2011-05-16,0,3500
496359,1,Central,2010 1,ZMB.1_1,25,2011-01-01,2011-05-16,0,3621
496813,4,Luapula,2010 1,ZMB.4_1,29,2011-01-01,2011-05-16,0,3621
496372,1,Central,2010 1,ZMB.1_1,38,2011-01-01,2011-05-16,0,3339
496510,2,Copperbelt,2010 1,ZMB.2_1,26,2011-01-01,2011-05-16,0,3305
496512,2,Copperbelt,2010 1,ZMB.2_1,28,2011-01-01,2011-05-16,0,3621
496524,2,Copperbelt,2010 1,ZMB.2_1,40,2011-01-01,2011-05-16,0,3621
497584,9,Southern,2010 1,ZMB.9_1,50,2011-01-01,2011-05-16,0,3621
496979,5,Lusaka,2010 1,ZMB.5_1,45,2011-01-01,2011-05-16,0,3621
497130,6,Muchinga,2010 1,ZMB.6_1,46,2011-01-01,2011-05-16,0,3621
497241,7,North-Western,2010 1,ZMB.7_1,7,2011-01-01,2011-05-16,0,3621
496947,5,Lusaka,2010 1,ZMB.5_1,13,2011-01-01,2011-05-16,0,3621
497116,6,Muchinga,2010 1,ZMB.6_1,32,2011-01-01,2011-05-16,0,3621
497101,6,Muchinga,2010 1,ZMB.6_1,17,2011-01-01,2011-05-16,0,3621
497419,8,Northern,2010 1,ZMB.8_1,35,2011-01-01,2011-05-16,0,3621
497576,9,Southern,2010 1,ZMB.9_1,42,2011-01-01,2011-05-16,0,3169
496528,2,Copperbelt,2010 1,ZMB.2_1,44,2011-01-01,2011-05-16,0,3378
497733,10,Western,2010 1,ZMB.10_1,49,2011-01-01,2011-05-16,0,3621
496671,3,Eastern,2010 1,ZMB.3_1,37,2011-01-01,2011-05-16,0,3620
497092,6,Muchinga,2010 1,ZMB.6_1,8,2011-01-01,2011-05-16,0,3621
496943,5,Lusaka,2010 1,ZMB.5_1,9,2011-01-01,2011-05-16,0,3621
496657,3,Eastern,2010 1,ZMB.3_1,23,2011-01-01,2011-05-16,0,3621
496942,5,Lusaka,2010 1,ZMB.5_1,8,2011-01-01,2011-05-16,0,3621
497692,10,Western,2010 1,ZMB.10_1,8,2011-01-02,2011-05-17,0,2925
496530,2,Copperbelt,2010 1,ZMB.2_1,46,2011-01-02,2011-05-17,0,3681
497573,9,Southern,2010 1,ZMB.9_1,39,2011-01-02,2011-05-17,0,3581
496353,1,Central,2010 1,ZMB.1_1,19,2011-01-02,2011-05-17,0,3684
497397,8,Northern,2010 1,ZMB.8_1,13,2011-01-02,2011-05-17,0,3684
496827,4,Luapula,2010 1,ZMB.4_1,43,2011-01-02,2011-05-17,0,3684
496802,4,Luapula,2010 1,ZMB.4_1,18,2011-01-02,2011-05-17,0,3684
496369,1,Central,2010 1,ZMB.1_1,35,2011-01-02,2011-05-17,0,3684
496499,2,Copperbelt,2010 1,ZMB.2_1,15,2011-01-02,2011-05-17,0,3512
496829,4,Luapula,2010 1,ZMB.4_1,45,2011-01-02,2011-05-17,0,3684
497235,7,North-Western,2010 1,ZMB.7_1,1,2011-01-02,2011-05-17,0,3684
497134,6,Muchinga,2010 1,ZMB.6_1,50,2011-01-02,2011-05-17,0,3684
