,district,year,yield
0,chadiza,1999,4.25366
1,chadiza,2000,4.17192
2,chadiza,2001,4.23727
3,chadiza,2002,4.2321
4,chadiza,2003,3.99673
5,chadiza,2004,4.31613
6,chadiza,2005,3.9750099999999997
7,chadiza,2006,4.0111099999999995
8,chadiza,2007,3.84931
9,chadiza,2008,4.05639
10,chadiza,2009,4.10545
11,chadiza,2010,3.95918
12,chadiza,2011,3.99469
13,chadiza,2012,3.98882
14,chadiza,2013,4.11711
15,chadiza,2014,3.9688999999999997
16,chadiza,2015,3.95382
17,chadiza,2016,3.91669
18,chadiza,2017,4.24941
19,chadiza,2018,3.8456400000000004
20,chadiza,2019,3.75454
21,chadiza,2020,3.94125
22,chadiza,2021,4.22163
23,chadiza,2022,3.6836296296296296
24,chama,1999,4.202706666666666
25,chama,2000,4.15541
26,chama,2001,4.1526499999999995
27,chama,2002,4.30797
28,chama,2003,3.94676
29,chama,2004,4.36055
30,chama,2005,3.9802400000000002
31,chama,2006,3.9462200000000003
32,chama,2007,3.8964600000000003
33,chama,2008,4.03405
34,chama,2009,4.01955
35,chama,2010,3.93733
36,chama,2011,4.01812
37,chama,2012,4.02813
38,chama,2013,4.13746
39,chama,2014,3.98255
40,chama,2015,3.8952
41,chama,2016,3.9796500000000004
42,chama,2017,4.26219
43,chama,2018,3.8320100000000004
44,chama,2019,3.7821300000000004
45,chama,2020,3.94063
46,chama,2021,4.20133
47,chama,2022,3.794096153846154
48,chasefu,1999,4.277073333333334
49,chasefu,2000,4.179390000000001
50,chasefu,2001,4.25957
51,chasefu,2002,4.1854000000000005
52,chasefu,2003,3.94534
53,chasefu,2004,4.33559
54,chasefu,2005,3.9953499999999997
55,chasefu,2006,3.9687599999999996
56,chasefu,2007,3.8816100000000002
57,chasefu,2008,4.019270000000001
58,chasefu,2009,4.08702
59,chasefu,2010,3.9008800000000003
60,chasefu,2011,3.97736
61,chasefu,2012,4.04272
62,chasefu,2013,4.12078
63,chasefu,2014,3.9868900000000003
64,chasefu,2015,3.8673200000000003
65,chasefu,2016,3.9484500000000002
66,chasefu,2017,4.2603100000000005
67,chasefu,2018,3.84678
68,chasefu,2019,3.7813600000000003
69,chasefu,2020,3.96453
70,chasefu,2021,4.15769
71,chasefu,2022,3.7337777777777776
72,chavuma,1999,4.229626666666666
73,chavuma,2000,4.1788799999999995
74,chavuma,2001,4.26271
75,chavuma,2002,4.23031
76,chavuma,2003,4.03146
77,chavuma,2004,4.28733
78,chavuma,2005,3.9444600000000003
79,chavuma,2006,3.98273
80,chavuma,2007,3.9320799999999996
81,chavuma,2008,4.03137
82,chavuma,2009,4.05699
83,chavuma,2010,3.9082799999999995
84,chavuma,2011,3.9800400000000002
85,chavuma,2012,3.9598700000000004
86,chavuma,2013,4.20273
87,chavuma,2014,3.9945600000000003
88,chavuma,2015,3.88423
89,chavuma,2016,4.015350000000001
90,chavuma,2017,4.27907
91,chavuma,2018,3.86986
92,chavuma,2019,3.78086
93,chavuma,2020,3.9477300000000004
94,chavuma,2021,4.2222
95,chavuma,2022,3.8010188679245283
96,chembe,1999,4.228993333333333
97,chembe,2000,4.18362
98,chembe,2001,4.20646
99,chembe,2002,4.30004
100,chembe,2003,3.95136
101,chembe,2004,4.26351
102,chembe,2005,4.00784
103,chembe,2006,3.97897
104,chembe,2007,3.8915699999999998
105,chembe,2008,4.00421
106,chembe,2009,4.1418099999999995
107,chembe,2010,3.91337
108,chembe,2011,4.00791
109,chembe,2012,3.9784300000000004
110,chembe,2013,4.1303
111,chembe,2014,4.0083
112,chembe,2015,3.96279
